Marca_Temporal,ID_Unico,Texto,Texto_Procesado,Longitud_Tokens,Emocion,Longitud_Texto
4/24/2024 18:20:36,G6ZRICXV,Cuando recuerdo a mis familiares que ya no estan. Cuando me frustro en que algo no me sale en la escuela y cuando siento que no puedo dar algun rendimiento esperado.,cuando recuerdo a mis familiares que ya no estan. cuando me frustro en que algo no me sale en la escuela y cuando siento que no puedo dar algun rendimiento esperado.,34,Tristeza,31
4/26/2024 14:33:09,4TF29YIO,Analizar todas las posibilidades antes de tomarla ,analizar todas las posibilidades antes de tomarla,8,Miedo,7
4/23/2024 19:48:07,GXLRPJ5F,Cuando me enojo con mis hermanas o cuando me enojo con mi novio.,cuando me enojo con mis hermanas o cuando me enojo con mi novio.,16,Tristeza,13
4/24/2024 12:03:52,DPW9GBQ3,"Primero es la frustración y el sentimiento de enojo por situaciones simples, pero después guardo la calma y veo la mejor manera de tomarlo","primero es la frustración y el sentimiento de enojo por situaciones simples, pero después guardo la calma y veo la mejor manera de tomarlo",27,Ira,24
4/29/2024 23:14:46,YWDANKQ3,Semana de exámenes ,semana de exámenes,3,Estrés,3
4/23/2024 20:03:37,KLWAYA6Z,"Cuando no he dormido, cuando tengo que entregar algo ","cuando no he dormido, cuando tengo que entregar algo",10,Estrés,9
4/30/2024 18:38:14,53710675,Cuando tengo que revisar mi agenda del día siguiente,cuando tengo que revisar mi agenda del día siguiente,9,Preocupación,9
4/23/2024 19:48:07,TOKIQV38,"Cuando mis planes del día no salen bien. Y cuando estoy en mi casa, sola en mi cuarto o es de noche y cuando llueve.","cuando mis planes del día no salen bien. y cuando estoy en mi casa, sola en mi cuarto o es de noche y cuando llueve.",30,Tristeza,25
5/10/2024 19:40:06,ZO6GKY6S,Al ver noticias y hacer proyectos,al ver noticias y hacer proyectos,6,Preocupación,6
5/17/2024 2:06:42,9N0G1GM1,"Ganas de dormir, cansancio.","ganas de dormir, cansancio.",7,Preocupación,4
5/16/2024 17:16:08,V6MYHJGB,"Cuando no entiendo una materia o cuando me atraso en la misma, cuando recuerdo cosas que no quiero","cuando no entiendo una materia o cuando me atraso en la misma, cuando recuerdo cosas que no quiero",20,Estrés,18
4/25/2024 12:28:34,BUUJHLBW,Cuando vi algo que no debía ver ni saber o cuando las cosas no salen según lo previsto ,cuando vi algo que no debía ver ni saber o cuando las cosas no salen según lo previsto,18,Tristeza,18
5/16/2024 16:57:14,KGOL6JXH,cuando algo no sale como lo esperado,cuando algo no sale como lo esperado,7,Estrés,7
4/29/2024 18:47:56,EC28OB0I,Últimamente por estrés ,últimamente por estrés,3,Tristeza,3
4/23/2024 21:05:33,FN2PCHS1,Al principio siento un poco de ansiedad pero luego se me quitan esas preocupaciones,al principio siento un poco de ansiedad pero luego se me quitan esas preocupaciones,15,Ira,14
5/15/2024 20:43:29,DJWQSCW2,Pensar en todas las posibles opciones que puedo tomar y basarme en la logica para elegir o experiencia previa incluso puedo recurrir a otra persona,pensar en todas las posibles opciones que puedo tomar y basarme en la logica para elegir o experiencia previa incluso puedo recurrir a otra persona,28,Miedo,25
5/9/2024 16:15:48,9OS9PHYF,Algo realmente difícil mas de 1 año ,algo realmente difícil mas de 1 año,7,Miedo,7
5/17/2024 11:40:20,KXHR1RPU,Pensar en todas mis posibilidades y escoger la que sea más conveniente,pensar en todas mis posibilidades y escoger la que sea más conveniente,12,Miedo,12
4/24/2024 15:43:23,JPFVNJKI,Cuando se me llegan a juntar tareas o si llego a sentir que el dinero que tengo para gastos no me va alcanzar,cuando se me llegan a juntar tareas o si llego a sentir que el dinero que tengo para gastos no me va alcanzar,23,Preocupación,23
4/23/2024 19:48:07,PFNKXS54,"Cuando estoy frustrado por no poder hacer un trabajo, cuando siento que no estoy dando el ancho en el doctorado o no avanzo en mi investigación, cuando me desespero y estoy demasiado estresado por todas las cosas que tengo que hacer.","cuando estoy frustrado por no poder hacer un trabajo, cuando siento que no estoy dando el ancho en el doctorado o no avanzo en mi investigación, cuando me desespero y estoy demasiado estresado por todas las cosas que tengo que hacer.",48,Tristeza,41
4/26/2024 13:57:41,2E2IMZRO,Cuando salgo con mis amigos o cuando platico entre clases con compañeros de la facultad,cuando salgo con mis amigos o cuando platico entre clases con compañeros de la facultad,16,Felicidad,15
4/23/2024 21:10:29,GUS8V807,"Regularmente las lamento por un tiempo muy corto y procedo a aceptarlas, buscar soluciones antes que enfocarse en el problema. ","regularmente las lamento por un tiempo muy corto y procedo a aceptarlas, buscar soluciones antes que enfocarse en el problema.",25,Ira,20
4/23/2024 21:05:33,FN2PCHS1,Aquellas cosas que nos dan paz y nos hacen sentir seguros ,aquellas cosas que nos dan paz y nos hacen sentir seguros,11,Felicidad,11
5/16/2024 9:36:26,BLO78S1C,Cuando estoy en mi casa,cuando estoy en mi casa,5,Felicidad,5
5/16/2024 0:55:45,IX724P8G,"cuando llego tarde a algún lugar, siento pena.
cuando se me acaba la batería del cel ya depende de la situación. Pero supongamos que se me acabo la pila en medio de la nada y lo que sentiría es preocupación. 
cuando olvido las llaves siento enojo conmigo mismo.
","cuando llego tarde a algún lugar, siento pena. cuando se me acaba la batería del cel ya depende de la situación. pero supongamos que se me acabo la pila en medio de la nada y lo que sentiría es preocupación. cuando olvido las llaves siento enojo conmigo mismo.",55,Ira,48
5/12/2024 20:47:26,QOKLYQJZ,Al momento de elaborar trabajos que lleven mucho tiempo o cuando tengo que ser líder en un equipo,al momento de elaborar trabajos que lleven mucho tiempo o cuando tengo que ser líder en un equipo,18,Estrés,18
4/30/2024 18:38:14,53710675,Las dos semanas,las dos semanas,3,Estrés,3
4/23/2024 19:48:07,0FQMQ0V1,En situaciones donde no me siento comodo o bien en pequeñas cosas que afectan mi dia,en situaciones donde no me siento comodo o bien en pequeñas cosas que afectan mi dia,17,Estrés,16
4/25/2024 19:38:25,W8ILZE4K,Un señuelo evolutivo.,un señuelo evolutivo.,6,Felicidad,3
5/2/2024 18:33:09,BHZT40UO,"He sentido alegría últimamente con cosas que parecieran ser sencillas, como lo es ver alguna película o serie con mi hermano, comer la comida que prepara mi mamá (ya que actualmente me encuentro estudiando lejos de mi lugar de origen, así que no suelo ir seguido por temas económicos), escuchar música y cantarla, platicar con mis amigos de cualquier cosa y que todo sean risas, esas situaciones son las que me dan alegría últimamente.","he sentido alegría últimamente con cosas que parecieran ser sencillas, como lo es ver alguna película o serie con mi hermano, comer la comida que prepara mi mamá (ya que actualmente me encuentro estudiando lejos de mi lugar de origen, así que no suelo ir seguido por temas económicos), escuchar música y cantarla, platicar con mis amigos de cualquier cosa y que todo sean risas, esas situaciones son las que me dan alegría últimamente.",86,Felicidad,74
4/24/2024 11:53:22,HGX6HZA2,Cuando un familiar muy cercano falleció,cuando un familiar muy cercano falleció,6,Tristeza,6
5/12/2024 20:47:26,QOKLYQJZ,"Cuando logro terminar un proyecto, estoy con mi familia y amigos o cuando me invitan a trabajar en proyectos","cuando logro terminar un proyecto, estoy con mi familia y amigos o cuando me invitan a trabajar en proyectos",21,Felicidad,19
5/16/2024 1:45:41,86IH30I7,Estabilidad financiera y realizar las actividades que te gustan sin preocupaciones.,estabilidad financiera y realizar las actividades que te gustan sin preocupaciones.,12,Felicidad,11
5/22/2024 19:49:00,AI6RPUWX,Cuando todas las cosas no salen según lo esperado,cuando todas las cosas no salen según lo esperado,9,Tristeza,9
4/23/2024 20:13:28,U57VENCU,"No hacer lo que te digan los demas, siempre pensar en uno mismo y pelear por lo que nos gusta","no hacer lo que te digan los demas, siempre pensar en uno mismo y pelear por lo que nos gusta",21,Felicidad,20
4/24/2024 23:33:27,2ON6FVSH,Hago lista de pros y contras,hago lista de pros y contras,6,Miedo,6
5/9/2024 14:22:33,VXWOTMTO,Cuando me siento incompetente o alguna falta de respeto hacia sus habilidades,cuando me siento incompetente o alguna falta de respeto hacia sus habilidades,13,Estrés,12
4/24/2024 14:34:04,POQ9TK13,Tomo con calma todo y siempre busca formas de como solucionar el problema con el que se me avecine ,tomo con calma todo y siempre busca formas de como solucionar el problema con el que se me avecine,20,Ira,19
5/16/2024 0:55:45,IX724P8G,"cuando llego tarde a algún lugar, siento pena.
cuando se me acaba la batería del cel ya depende de la situación. Pero supongamos que se me acabo la pila en medio de la nada y lo que sentiría es preocupación. 
cuando olvido las llaves siento enojo conmigo mismo.
","cuando llego tarde a algún lugar, siento pena. cuando se me acaba la batería del cel ya depende de la situación. pero supongamos que se me acabo la pila en medio de la nada y lo que sentiría es preocupación. cuando olvido las llaves siento enojo conmigo mismo.",55,Ira,48
5/16/2024 0:35:07,CHNLHC6X,Cuando sobrepienso sobre cosas que me importan,cuando sobrepienso sobre cosas que me importan,10,Tristeza,7
4/23/2024 19:48:07,FM5YVNM2,La felicidad es momentánea pero siempre puede estar presente si asi lo buscamos ,la felicidad es momentánea pero siempre puede estar presente si asi lo buscamos,16,Felicidad,13
5/9/2024 14:35:17,4F5JZDBC,"Tranquilizarme, pensar y buscar la mejor solución ","tranquilizarme, pensar y buscar la mejor solución",9,Miedo,7
4/26/2024 13:17:38,DCV5DO3V,Cuando no entiendo algo,cuando no entiendo algo,4,Estrés,4
5/16/2024 7:20:37,7SV40TFC,"Cuando se presenta un problema que me supera, al ver a un familiar muy enfermo, al sentir el rechazo de los demás y sentirme en soledad ","cuando se presenta un problema que me supera, al ver a un familiar muy enfermo, al sentir el rechazo de los demás y sentirme en soledad",28,Tristeza,26
4/23/2024 21:10:29,GUS8V807,"En las noches, junto antes de dormir.","en las noches, junto antes de dormir.",9,Preocupación,7
5/16/2024 16:56:55,BGD4M2IP,busco soluciones para que el problema me afecte lo menos posible o nulo,busco soluciones para que el problema me afecte lo menos posible o nulo,14,Ira,13
4/24/2024 11:31:24,PUV5RTZG,"Al estar con mi pareja es muy tranquilizante y feliz, ya que me siento tranquilo, y al estar con mi mamá, tambien es mucha felicidad ","al estar con mi pareja es muy tranquilizante y feliz, ya que me siento tranquilo, y al estar con mi mamá, tambien es mucha felicidad",29,Felicidad,25
5/16/2024 16:57:14,KGOL6JXH,analizo a fondo la situación,analizo a fondo la situación,6,Miedo,5
4/29/2024 13:53:27,R5NND2PJ,"Hormigueo en los brazos, dolor de cabeza, dolor en el pecho ","hormigueo en los brazos, dolor de cabeza, dolor en el pecho",15,Preocupación,11
5/15/2024 22:02:58,0K4CZRKQ,"Me preocupo y siento como si fuera mi culpa, pienso mucho en las probabilidades de no haber tomado esa ruta, salir más temprano, etc. Pero todo eso basado en que es mi culpa lo acontecido 
Pero externamente me muestro solo un poco preocupada ","me preocupo y siento como si fuera mi culpa, pienso mucho en las probabilidades de no haber tomado esa ruta, salir más temprano, etc. pero todo eso basado en que es mi culpa lo acontecido pero externamente me muestro solo un poco preocupada",50,Ira,43
4/25/2024 9:36:25,ES771SD8,"Mentalmente, cuando estoy hundido en tarea, proyectos y encima tengo trabajo que cumplir","mentalmente, cuando estoy hundido en tarea, proyectos y encima tengo trabajo que cumplir",17,Estrés,13
5/16/2024 17:16:08,V6MYHJGB,"Me frustro, siento ansiedad, me palpita el corazón, siento la sangre en los oídos y me cuesta quedarme quieto","me frustro, siento ansiedad, me palpita el corazón, siento la sangre en los oídos y me cuesta quedarme quieto",24,Ira,19
5/3/2024 16:49:47,UBXXESOE,"Cuando no puedo resolver algo, cuando la gente es grosera conmigo. Cuando tengo poco tiempo para realizar una actividad. Cuando tengo algo importante que realizar y no sé si lo estoy haciendo bien.","cuando no puedo resolver algo, cuando la gente es grosera conmigo. cuando tengo poco tiempo para realizar una actividad. cuando tengo algo importante que realizar y no sé si lo estoy haciendo bien.",38,Estrés,33
5/9/2024 18:46:39,3G5WW5TD,"En las noches,  cuando reflexionó sobre mi futuro ","en las noches, cuando reflexionó sobre mi futuro",10,Preocupación,8
5/20/2024 8:07:43,RK9BOLBA,"Trato de analizar como puedo resolver esa situación y de no frustrarme, y de ser posible resolver dicha situación.  ","trato de analizar como puedo resolver esa situación y de no frustrarme, y de ser posible resolver dicha situación.",23,Miedo,19
5/17/2024 10:45:56,AYNOOGEB,"Cuando voy al cine, cuando estoy con mi familia, cuando escucho música ","cuando voy al cine, cuando estoy con mi familia, cuando escucho música",14,Felicidad,12
5/16/2024 8:27:32,G2H8Q8RA,"Tranquilo, pues siempre puedo contar con la ayuda de otros","tranquilo, pues siempre puedo contar con la ayuda de otros",11,Ira,10
4/23/2024 19:48:07,ADDP44O9,"Si la situación no es grave, lo tomo con calma y trato de prevenirlo para la siguiente ocasión, si es grave, trato de encontrar una solución o alternativa lo más pronto posible y si no la encuentro, no estoy en paz hasta no remediarlo ","si la situación no es grave, lo tomo con calma y trato de prevenirlo para la siguiente ocasión, si es grave, trato de encontrar una solución o alternativa lo más pronto posible y si no la encuentro, no estoy en paz hasta no remediarlo",51,Ira,44
4/24/2024 13:03:03,Y5I54ZU1,Cuándo estoy con amigos ,cuándo estoy con amigos,4,Felicidad,4
4/26/2024 18:22:59,KQGSATHF,Al principio del día,al principio del día,4,Preocupación,4
4/29/2024 14:03:24,S62P3R06,"Al estar con mis amigos, al final de mi jornada laboral, mientras leo ","al estar con mis amigos, al final de mi jornada laboral, mientras leo",15,Felicidad,13
4/23/2024 19:48:07,0FQMQ0V1,Al estar con mi familia o amigos o jugar en linea con amigos,al estar con mi familia o amigos o jugar en linea con amigos,13,Felicidad,13
4/23/2024 19:48:07,WED8UH5D,Después de la escuela ,después de la escuela,4,Estrés,4
4/24/2024 12:25:11,NG3F2CJ4,"Tiendo a presentar gastritis, sueño durante el día, dolor de cabeza y síntomas de ansiedad ","tiendo a presentar gastritis, sueño durante el día, dolor de cabeza y síntomas de ansiedad",19,Preocupación,15
4/23/2024 19:48:07,UJCL56SG,"Cuando me preguntan sobre cosas de la escuela, que pienso del futuro o simplemente por imsonio","cuando me preguntan sobre cosas de la escuela, que pienso del futuro o simplemente por imsonio",19,Estrés,16
4/29/2024 13:53:27,R5NND2PJ,"Satisfacción de lograr las cosas, sentir bienestar con las personas a mi alrededor y hacer cosas por los demás ","satisfacción de lograr las cosas, sentir bienestar con las personas a mi alrededor y hacer cosas por los demás",20,Felicidad,19
5/13/2024 20:44:20,YOP5JWEP,TERMINANDO MI JORNADA LABORAL ,terminando mi jornada laboral,4,Estrés,4
4/25/2024 21:55:05,1C8YLNRI,Al perder a mi ser querido,al perder a mi ser querido,6,Tristeza,6
4/26/2024 14:35:23,UZNBAHRB,Estar con la cabeza fría y ver qué opción me sale mejor para mí ,estar con la cabeza fría y ver qué opción me sale mejor para mí,14,Miedo,14
4/26/2024 17:05:18,25DC2F4Q,Meditar si es una situación que está en mi control,meditar si es una situación que está en mi control,11,Miedo,10
6/12/2024 18:05:58,I01P7HCR,cuando estoy bajo presión o cuando no cumplo con mis promesas,cuando estoy bajo presión o cuando no cumplo con mis promesas,12,Estrés,11
5/1/2024 20:39:05,IYJTK4UN,No he sentido alegría,no he sentido alegría,4,Felicidad,4
4/23/2024 19:48:07,MKZUPRJI,Con preocupación ,con preocupación,2,Ira,2
4/23/2024 21:26:04,3GGBO8RK,Después de que me desvelé hay momentos que al día siguiente me siento cansado sobretodo cuando me siento aburrido.,después de que me desvelé hay momentos que al día siguiente me siento cansado sobretodo cuando me siento aburrido.,23,Estrés,19
4/25/2024 22:01:24,U8GAYRZ7,"Recordar que mis padres fallecieron, cuando me siento que estoy estancada y no he hecho nada, cuando me siento presionada porque la abogada de mi juicio me pide dinero, cuando de repente empiezo a sobrepensar","recordar que mis padres fallecieron, cuando me siento que estoy estancada y no he hecho nada, cuando me siento presionada porque la abogada de mi juicio me pide dinero, cuando de repente empiezo a sobrepensar",43,Tristeza,35
5/3/2024 16:49:47,UBXXESOE,"Cuando un docente es injusto.
Cuando no sé cómo solucionar un problema académico.
",cuando un docente es injusto. cuando no sé cómo solucionar un problema académico.,15,Tristeza,13
4/26/2024 11:14:18,83ECQ6P2,"Busco un momento de calma en mi día si es posible claro si no requiere una respuesta rápida, analizar las opciones sus lados positivos y negativos Tambien me importa si la decision que tomo no afecta a terceras personas intento tomar lo más seguro.","busco un momento de calma en mi día si es posible claro si no requiere una respuesta rápida, analizar las opciones sus lados positivos y negativos tambien me importa si la decision que tomo no afecta a terceras personas intento tomar lo más seguro.",47,Miedo,44
5/12/2024 20:47:26,QOKLYQJZ,Cuando no logro entender los proyectos de la universidad o cuando no estoy en mi casa ,cuando no logro entender los proyectos de la universidad o cuando no estoy en mi casa,16,Tristeza,16
4/24/2024 16:24:34,I7OEHA3M,plantear las ventajas y desventajas de cada opción y tomar la opción que tenga menos desventajas y las ventajas sean ayuda que no podrías obtener de otra forma,plantear las ventajas y desventajas de cada opción y tomar la opción que tenga menos desventajas y las ventajas sean ayuda que no podrías obtener de otra forma,30,Miedo,28
4/26/2024 13:25:59,UGTBZ7P3,Laboralmente ,laboralmente,2,Felicidad,1
5/16/2024 12:00:29,ZJWB22YX,Cuando estoy muy estresada,cuando estoy muy estresada,5,Tristeza,4
5/9/2024 14:34:45,WW1GHWY1,"Me siento frustrado ya que creo que podría haber salido mejor, por lo tanto me propongo a mejorarlo
","me siento frustrado ya que creo que podría haber salido mejor, por lo tanto me propongo a mejorarlo",21,Ira,18
4/26/2024 13:57:41,2E2IMZRO,"Con frustracion y enojo, tratar de analizar que sucedio mal y como tratar de prevenirlo para la siguiente ves","con frustracion y enojo, tratar de analizar que sucedio mal y como tratar de prevenirlo para la siguiente ves",25,Ira,19
4/23/2024 20:13:28,U57VENCU,"Cuando paso tiempo con mi novio, cuando leo y cuando escucho música","cuando paso tiempo con mi novio, cuando leo y cuando escucho música",13,Felicidad,12
5/1/2024 8:23:10,RJYNX3WD,Simplemente poco a poco ir afrontando hasta que pase,simplemente poco a poco ir afrontando hasta que pase,10,Miedo,9
4/30/2024 21:04:57,7CTEOZ0B,Cuando las cosas no salen lo planeado.,cuando las cosas no salen lo planeado.,8,Estrés,7
4/29/2024 13:31:46,PRUNGY5A,Después de llegar de la escuela ,después de llegar de la escuela,6,Estrés,6
4/26/2024 14:50:06,87RRAHBJ,"No reacciono con angustia, estoy algo calmado, no actuo de manera explosiva","no reacciono con angustia, estoy algo calmado, no actuo de manera explosiva",18,Miedo,12
4/24/2024 12:56:33,LQY5OSVH,"Analizar emociones, entrar en un punto neutro, analizar opciones, identificar el mejor y peor de los casos, optar por la opción más fiable","analizar emociones, entrar en un punto neutro, analizar opciones, identificar el mejor y peor de los casos, optar por la opción más fiable",28,Miedo,23
5/16/2024 9:59:21,8MM32FBW,Cuando pienso en mi futuro ,cuando pienso en mi futuro,5,Tristeza,5
4/23/2024 23:46:42,PVDRLPQL,"Lo primero sería analizar larga y a conciencia las opciones disponibles, e inclusive que tanta posibilidad hay de abrir nuevas opciones. Lo segundo sería elegir la mejor opción tomando en cuenta su impacto diferentes aspectos a corto y largo plazo. Finalmente, y con la elección ya tomada, ir fuerte y sin miedo con la elección tomada a menos que en verdad los primeros resultados sean muy negativos.","lo primero sería analizar larga y a conciencia las opciones disponibles, e inclusive que tanta posibilidad hay de abrir nuevas opciones. lo segundo sería elegir la mejor opción tomando en cuenta su impacto diferentes aspectos a corto y largo plazo. finalmente, y con la elección ya tomada, ir fuerte y sin miedo con la elección tomada a menos que en verdad los primeros resultados sean muy negativos.",73,Miedo,67
4/29/2024 13:24:37,7I9KZQ70,"Analizar las decisiones, analizar posibles consecuencias, visualizar pros y contras, seguir la que me haga sentir más cómodo","analizar las decisiones, analizar posibles consecuencias, visualizar pros y contras, seguir la que me haga sentir más cómodo",22,Miedo,18
4/23/2024 19:48:07,ADDP44O9,"Hablarlo con algún de confianza, ser escuchado ayuda aun cuando no hay solución, buscar opciones para sobrellevar o solucionar la situación ","hablarlo con algún de confianza, ser escuchado ayuda aun cuando no hay solución, buscar opciones para sobrellevar o solucionar la situación",26,Miedo,21
