Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens,Emocion
4/23/2024 19:48:07,WED8UH5D,Cuando me doy cuenta de mis pendientes ,Cuando me doy cuenta de mis pendientes,10,Preocupación
4/23/2024 19:48:07,FM5YVNM2,"Cuando siento que no voy apoder hacer un tarea, o cuando veo que mi hermana no mejora ","Cuando siento que no voy apoder hacer un tarea, o cuando veo que mi hermana no mejora",23,Preocupación
4/23/2024 19:48:07,TOKIQV38,Cuando los tiempos estimados no son lo que se esperan.,Cuando los tiempos estimados no son lo que se esperan.,13,Preocupación
4/23/2024 19:48:16,QHVZR83J,"1.Cuando siento que mis conocimientos no son lo suficientes.
2.Cuando hago mal algun trabajo o tarea.
3.Cuando siento que no me alcanza el tiempo para realizar mis actividades.",1.Cuando siento que mis conocimientos no son lo suficientes. 2.Cuando hago mal algun trabajo o tarea. 3.Cuando siento que no me alcanza el tiempo para realizar mis actividades.,42,Preocupación
4/23/2024 19:52:34,QXIEYINQ,De manera general en cosas sobre las que no tengo control.,De manera general en cosas sobre las que no tengo control.,13,Preocupación
4/23/2024 20:03:37,KLWAYA6Z,"En la tarde, cuando estoy en mi casa y siento que tengo demasiadas cosas que hacer ","En la tarde, cuando estoy en mi casa y siento que tengo demasiadas cosas que hacer",22,Preocupación
4/23/2024 20:13:28,U57VENCU,cuando salgo de casa,cuando salgo de casa,5,Preocupación
4/23/2024 20:13:37,A2IERC7W,Al darme cuenta de lo difícil que es destacar en mi carrera ,Al darme cuenta de lo difícil que es destacar en mi carrera,13,Preocupación
4/23/2024 20:18:00,9N5PTUUF,Cuando sobre pienso las cosas.,Cuando sobre pienso las cosas.,8,Preocupación
4/23/2024 20:28:40,SXA26XSC,"Cuando voy tarde a clases, cuando entregan resultados de exámenes, cuando tengo muchas cosas por hacer ","Cuando voy tarde a clases, cuando entregan resultados de exámenes, cuando tengo muchas cosas por hacer",23,Preocupación
4/23/2024 20:30:08,XEDRH93Z,"Cuando enfrento problemas con algunos proyecto, como fechas límite ajustadas o situaciones complicadas y también en la temporada de los exámenes.","Cuando enfrento problemas con algunos proyecto, como fechas límite ajustadas o situaciones complicadas y también en la temporada de los exámenes.",31,Preocupación
4/23/2024 20:43:09,S8Y84CH8,"Cuando olvido hacer algo importante como los trámites o entregar tareas, no poder entrar a clase o no entender lo que me enseñan, ver que otras personas son mejores que yo y vamos en el mismo nivel. ","Cuando olvido hacer algo importante como los trámites o entregar tareas, no poder entrar a clase o no entender lo que me enseñan, ver que otras personas son mejores que yo y vamos en el mismo nivel.",47,Preocupación
4/23/2024 20:44:26,HG74CPSK,Cuando no se lo que me depara el futuro,Cuando no se lo que me depara el futuro,10,Preocupación
4/23/2024 21:02:39,L2RH302J,Cuando tengos pendientes con poco tiempo para poder entregarlos.,Cuando tengos pendientes con poco tiempo para poder entregarlos.,15,Preocupación
4/23/2024 21:05:33,FN2PCHS1,Al pensar en mi tarea pendiente,Al pensar en mi tarea pendiente,8,Preocupación
4/23/2024 21:10:29,GUS8V807,"En las noches, junto antes de dormir.","En las noches, junto antes de dormir.",11,Preocupación
4/23/2024 21:26:04,3GGBO8RK,Cuando dejo una tarea al último y siento que el tiempo que deje para hacer la tarea es muy justo.,Cuando dejo una tarea al último y siento que el tiempo que deje para hacer la tarea es muy justo.,24,Preocupación
4/23/2024 21:27:00,3DA9WB82,Cuando no entrego tareas,Cuando no entrego tareas,5,Preocupación
4/23/2024 21:37:25,4SUVP1WR,siempre que pienso en el futuro a corto y mediano plazo,siempre que pienso en el futuro a corto y mediano plazo,14,Preocupación
4/23/2024 22:47:07,JOAT36RK,Cuando tengo que gastar dinero ,Cuando tengo que gastar dinero,7,Preocupación
4/23/2024 22:57:11,53EHQAPE,Al pasar contratiempos que afectan la programación de mis actividades o en la calle cuando empiezo a notar a personas sospechosas a mi alrededor.  ,Al pasar contratiempos que afectan la programación de mis actividades o en la calle cuando empiezo a notar a personas sospechosas a mi alrededor.,33,Preocupación
4/23/2024 23:46:42,PVDRLPQL,En ninguno.,En ninguno.,4,Preocupación
4/23/2024 23:57:44,K8SLYVAW,"Al momento de realizar alguna tarea y/o proyecto de una materia que se me llegue a complicar debido a una planificación no tan eficiente de mi tiempo o por razones fuera de mi control. De igual manera, también me llega a preocupar si voy a llegar a casa sin algún contratiempo como un robo o asalto, o incluso algo más leve como el tráfico y que llegue muy tarde a casa.","Al momento de realizar alguna tarea y/o proyecto de una materia que se me llegue a complicar debido a una planificación no tan eficiente de mi tiempo o por razones fuera de mi control. De igual manera, también me llega a preocupar si voy a llegar a casa sin algún contratiempo como un robo o asalto, o incluso algo más leve como el tráfico y que llegue muy tarde a casa.",91,Preocupación
4/24/2024 0:02:54,TUNKCUEZ,Cuando tengo demasiada carga de tareas o mis planes cambian inesperadamente ,Cuando tengo demasiada carga de tareas o mis planes cambian inesperadamente,18,Preocupación
4/24/2024 1:16:24,5I7IDE86,"Al no poder con alguna tarea y tener que pedir apoyo, me preocupa no poder tener el potencial que se requiere para realizar tareas sola. También al creer que nunca podré llegar a ser nada en mi vida a no poder lograr mis objetivos.","Al no poder con alguna tarea y tener que pedir apoyo, me preocupa no poder tener el potencial que se requiere para realizar tareas sola. También al creer que nunca podré llegar a ser nada en mi vida a no poder lograr mis objetivos.",52,Preocupación
4/24/2024 10:55:51,WG8ABYZS,Acerca de las tareas y cosas escolares,Acerca de las tareas y cosas escolares,9,Preocupación
4/24/2024 11:16:48,QCURT76I,después de regresar de clases ,después de regresar de clases,5,Preocupación
4/24/2024 11:24:06,8OVFX977,Cuando algo urgente depende de mi y va saliendo mal,Cuando algo urgente depende de mi y va saliendo mal,12,Preocupación
4/24/2024 11:27:42,PPZXS8CP,Casi todo el día.,Casi todo el día.,6,Preocupación
4/24/2024 11:28:12,T38J7JB4,TARDE NOCHE,TARDE NOCHE,6,Preocupación
4/24/2024 11:29:56,TE4FJ4MH,Cuando pienso en todas las tareas que tengo por hacer,Cuando pienso en todas las tareas que tengo por hacer,13,Preocupación
4/24/2024 11:30:15,ZELPD30F,Cuando no le entiendo a los temas de matemáticas o de programación ,Cuando no le entiendo a los temas de matemáticas o de programación,14,Preocupación
4/24/2024 11:31:24,PUV5RTZG,Cuando voy camino a casa por lo peligroso que es el camino ,Cuando voy camino a casa por lo peligroso que es el camino,14,Preocupación
4/24/2024 11:32:16,33JDURG7,"Cuando mi mamá me marco varias veces y no respondí, o cuando mi hermano aún no llega a la casa y ya es tarde ","Cuando mi mamá me marco varias veces y no respondí, o cuando mi hermano aún no llega a la casa y ya es tarde",27,Preocupación
4/24/2024 11:32:59,EAM2O87V,"Cuando veo que no consigo realizar las tareas de la escuela. Cuando no veo progreso en mis estudios o materias, tareas, proyectos.","Cuando veo que no consigo realizar las tareas de la escuela. Cuando no veo progreso en mis estudios o materias, tareas, proyectos.",32,Preocupación
4/24/2024 11:33:22,H22AN93K,En las clases,En las clases,3,Preocupación
4/24/2024 11:35:28,IRB84959,"Cuando no acabo mis deberes del día, cuando no comprendo bien un tema ","Cuando no acabo mis deberes del día, cuando no comprendo bien un tema",17,Preocupación
4/24/2024 11:39:35,XOF6KQ1G,En clases de álgebra ,En clases de álgebra,6,Preocupación
4/24/2024 11:40:06,1GC9M0FT,En la escuela,En la escuela,3,Preocupación
4/24/2024 11:41:02,DZ9DN7BK,Por mis estudios y saber si puedo seguir estudiando o no,Por mis estudios y saber si puedo seguir estudiando o no,13,Preocupación
4/24/2024 11:41:30,ZF56737V,Tener que cumplir con compromisos por los cuales me siento rebasado. El futuro también me preocupa,Tener que cumplir con compromisos por los cuales me siento rebasado. El futuro también me preocupa,25,Preocupación
4/24/2024 11:53:22,HGX6HZA2,Cuando mi familia tiene que pasar situaciones complicadas,Cuando mi familia tiene que pasar situaciones complicadas,10,Preocupación
4/24/2024 11:57:08,S2ATVULP,en las noches,en las noches,4,Preocupación
4/24/2024 11:58:50,GFSFOGBV,Cuando no encuentro como encajar mis habilidades en el estudio o trabajo,Cuando no encuentro como encajar mis habilidades en el estudio o trabajo,14,Preocupación
4/24/2024 12:03:52,DPW9GBQ3,"Cuando vienen épocas de evaluaciones, que a pesar de que no descuido mis estudios tanto, se que son épocas de estrés por que hay veces en que toca hacerlo todo si quieres que salga bien ","Cuando vienen épocas de evaluaciones, que a pesar de que no descuido mis estudios tanto, se que son épocas de estrés por que hay veces en que toca hacerlo todo si quieres que salga bien",45,Preocupación
4/24/2024 12:10:15,2YB4F1WO,"cuando tengo que hacer tarea, cuando no hay nadie en mi casa, cuando tengo que hacer cosas que no tengo tanta experiencia ","cuando tengo que hacer tarea, cuando no hay nadie en mi casa, cuando tengo que hacer cosas que no tengo tanta experiencia",28,Preocupación
4/24/2024 12:11:29,LOKQGFF4,"Cuando los trabajos están cerca de la fecha de vencimiento, cuando busco ayuda para resolver dudas y no hay respuesta alguna, y cuando económicamente no me doy abasto con algún gasto","Cuando los trabajos están cerca de la fecha de vencimiento, cuando busco ayuda para resolver dudas y no hay respuesta alguna, y cuando económicamente no me doy abasto con algún gasto",40,Preocupación
4/24/2024 12:19:11,LI6RUZZW,"Cuando empiezo a pensar en qué cosas debo hacer, las que no he hecho y las que ya he hecho y las que podría hacer","Cuando empiezo a pensar en qué cosas debo hacer, las que no he hecho y las que ya he hecho y las que podría hacer",29,Preocupación
4/24/2024 12:20:06,VHUGEE7Y,Cuando tengo proyectos pendientes,Cuando tengo proyectos pendientes,7,Preocupación
4/24/2024 12:24:41,U5RVW5N7,No sé,No sé,2,Preocupación
4/24/2024 12:25:11,NG3F2CJ4,Cuando alguna persona que me importa está pasando por algún problema o cuando tengo algún pendiente que no puedo resolver,Cuando alguna persona que me importa está pasando por algún problema o cuando tengo algún pendiente que no puedo resolver,25,Preocupación
4/24/2024 12:26:00,ETSMGZBD,Cuando sobrepienso los proyectos ,Cuando sobrepienso los proyectos,6,Preocupación
4/24/2024 12:33:39,AY3IGV3Q,"Tengo varias lesiones en el cuerpo, pero sigo haciendo actividad física intensa, entonces trato de ir con calma, pero estar con el pensamiento de que, si me lastimo, no es algo que vaya a sanar rápido ni que sea barato, no me deja estar tranquilo
O cuando las cosas se me salen demasiado de control, intento tener plan a, b o c incluso si algo no va como lo planeado, intento improvisar, pero si muchas cosas empiezan a ocurrir, siento que no puedo controlar o resolver todos los problemas que se presentan, por ejemplo, esta semana debo pagar la tarjeta y un amigo al cual le hice una compra, todavía no me da el dinero que me debe, situaciones que no puedo apresurar, pero necesito que pasen, para que no haya consecuencias graves.","Tengo varias lesiones en el cuerpo, pero sigo haciendo actividad física intensa, entonces trato de ir con calma, pero estar con el pensamiento de que, si me lastimo, no es algo que vaya a sanar rápido ni que sea barato, no me deja estar tranquilo O cuando las cosas se me salen demasiado de control, intento tener plan a, b o c incluso si algo no va como lo planeado, intento improvisar, pero si muchas cosas empiezan a ocurrir, siento que no puedo controlar o resolver todos los problemas que se presentan, por ejemplo, esta semana debo pagar la tarjeta y un amigo al cual le hice una compra, todavía no me da el dinero que me debe, situaciones que no puedo apresurar, pero necesito que pasen, para que no haya consecuencias graves.",183,Preocupación
4/24/2024 12:38:17,EUW2F405,"Son cosas pequeñas, cosas familiares, personales, etc... Pero en todo momento uno se siente preocupado.","Son cosas pequeñas, cosas familiares, personales, etc... Pero en todo momento uno se siente preocupado.",26,Preocupación
4/24/2024 12:53:16,ZLQAYMFG,Cuando se que algo está mal o se que mis acciones aunque no hayan sido malas pueden traer consecuencias o en general que algo me afecte aunque no tenga que ver con ello.,Cuando se que algo está mal o se que mis acciones aunque no hayan sido malas pueden traer consecuencias o en general que algo me afecte aunque no tenga que ver con ello.,40,Preocupación
4/24/2024 12:56:33,LQY5OSVH,Cuando sobrepienso,Cuando sobrepienso,4,Preocupación
4/24/2024 13:03:03,Y5I54ZU1,Cuando se acercan exámenes ,Cuando se acercan exámenes,7,Preocupación
4/24/2024 13:30:30,1Y7ATVYP,En la escuela por las materias y no poder aprender y rezagarme con lo que debería aprender,En la escuela por las materias y no poder aprender y rezagarme con lo que debería aprender,21,Preocupación
4/24/2024 13:43:01,U3RWWQRL,"La mayoría de mi día, estoy preocupado por el día de mañana ","La mayoría de mi día, estoy preocupado por el día de mañana",17,Preocupación
4/24/2024 13:48:24,EG8V8IQ1,Cuando estoy con el pendiente que no he hecho ,Cuando estoy con el pendiente que no he hecho,12,Preocupación
4/24/2024 14:34:04,POQ9TK13,Cuando espero algún resultado o respuesta importante que puede que afecte mis posibles problemas ,Cuando espero algún resultado o respuesta importante que puede que afecte mis posibles problemas,17,Preocupación
4/24/2024 15:03:56,VONE103T,En el momento en que siento que lo que se no me ayudará en mi vida a futuro ,En el momento en que siento que lo que se no me ayudará en mi vida a futuro,20,Preocupación
4/24/2024 15:34:08,893V9WHU,"Cuando planeo mis actividades laborales y no puedo cumplirlas totalmente, cuando sé que debo realizar cierta actividad como estudiar y no lo hago. ","Cuando planeo mis actividades laborales y no puedo cumplirlas totalmente, cuando sé que debo realizar cierta actividad como estudiar y no lo hago.",31,Preocupación
4/24/2024 15:43:23,JPFVNJKI,Cuando se me llegan a juntar tareas o si llego a sentir que el dinero que tengo para gastos no me va alcanzar,Cuando se me llegan a juntar tareas o si llego a sentir que el dinero que tengo para gastos no me va alcanzar,26,Preocupación
4/24/2024 15:48:07,QU685VKV,"En las noches, siempre sobrepienso.","En las noches, siempre sobrepienso.",10,Preocupación
4/24/2024 15:54:20,Z6ZGAS4H,Cuando escucho los problemas que hay en casa y se que aún no tengo las posibilidades o recursos para poder ayudarlos,Cuando escucho los problemas que hay en casa y se que aún no tengo las posibilidades o recursos para poder ayudarlos,26,Preocupación
4/24/2024 16:24:34,I7OEHA3M,cuando siento que alguien depende de lo que realice ,cuando siento que alguien depende de lo que realice,11,Preocupación
4/24/2024 16:25:34,945RIESS,"En la mañana al iniciar mis tareas y en las tardes al salir de clases, con cada día más carga.","En la mañana al iniciar mis tareas y en las tardes al salir de clases, con cada día más carga.",23,Preocupación
4/24/2024 16:42:06,OY89I1AT,Cuando llega la entrega de trabajos ,Cuando llega la entrega de trabajos,6,Preocupación
4/24/2024 17:26:44,MHA8ZTS5,Cuando recuerdo algunas cuentas pendientes ,Cuando recuerdo algunas cuentas pendientes,9,Preocupación
4/24/2024 18:05:56,RA4Y9X5E,No me eh sentido preocupado ,No me eh sentido preocupado,9,Preocupación
4/24/2024 18:20:17,LXDB8W6X,Al procrastinar y no hacer tareas ,Al procrastinar y no hacer tareas,9,Preocupación
4/24/2024 18:20:36,G6ZRICXV,Cuando tengo que hacer tarea y no tengo acceso a internet o tomar clase en linea.,Cuando tengo que hacer tarea y no tengo acceso a internet o tomar clase en linea.,19,Preocupación
4/24/2024 18:27:11,S1Z2D8M2,En las noches,En las noches,4,Preocupación
4/24/2024 19:06:32,RC5G5VFK,Normalmente antes de dormir pensado en pendientes que no se pudieron solucionar ,Normalmente antes de dormir pensado en pendientes que no se pudieron solucionar,19,Preocupación
4/24/2024 19:07:31,947J0Q5A,"Al inicio del día, muchas veces se me hace temprano para salir o cuando se entregan calificaciones de una materia que siento que me ira mal","Al inicio del día, muchas veces se me hace temprano para salir o cuando se entregan calificaciones de una materia que siento que me ira mal",32,Preocupación
4/24/2024 19:40:22,W9LAW009,Cuando pienso en el futuro.,Cuando pienso en el futuro.,8,Preocupación
4/24/2024 19:48:20,2QH0OQRP,"Cuando tengo varios pendientes, cuando no entiendo algo, cuando alguien que conozco necesita tiene algún problema sin resolver ","Cuando tengo varios pendientes, cuando no entiendo algo, cuando alguien que conozco necesita tiene algún problema sin resolver",28,Preocupación
4/24/2024 19:53:13,9FBVNJ3U,Cuando tengo muchos pendientes por hacer y la manera de organizar mi tiempo no da para cubrir todos los pendientes,Cuando tengo muchos pendientes por hacer y la manera de organizar mi tiempo no da para cubrir todos los pendientes,26,Preocupación
4/24/2024 20:57:53,IRIJAUXK,"Al entregar proyectos, al sobre pensar acerca si mi pareja es infiel en mi relación y al pensar en mi futuro.","Al entregar proyectos, al sobre pensar acerca si mi pareja es infiel en mi relación y al pensar en mi futuro.",25,Preocupación
4/24/2024 21:00:13,H7ZSLKYX,al ver problemas de comunicación ,al ver problemas de comunicación,5,Preocupación
4/24/2024 22:49:25,ZNQELPB7, Intento ya no preocuparme por las cosas.,Intento ya no preocuparme por las cosas.,12,Preocupación
4/24/2024 23:23:27,J9Q8IXFH,en la escuela cuando dejan demasiada tarea o trabajos ,en la escuela cuando dejan demasiada tarea o trabajos,12,Preocupación
4/24/2024 23:33:27,2ON6FVSH,Cuando pienso que me puedo morir,Cuando pienso que me puedo morir,9,Preocupación
4/25/2024 9:36:25,ES771SD8,Cuando he hecho algún mal a alguien o no he cumplido algo que prometí,Cuando he hecho algún mal a alguien o no he cumplido algo que prometí,18,Preocupación
4/25/2024 10:52:29,FZRWA0SY,Cuando ando en busca de soluciones y opurtunidades y no encuentro solucion al problema ,Cuando ando en busca de soluciones y opurtunidades y no encuentro solucion al problema,21,Preocupación
4/25/2024 11:40:29,1KWDDNOH,Principalmente al pensar en mi futuro y en si de verdad quiero esta carrera y está universidad (BUAP),Principalmente al pensar en mi futuro y en si de verdad quiero esta carrera y está universidad (BUAP),24,Preocupación
4/25/2024 11:42:43,5CHTZV8O,"Cuando hago un recuento de las cosas pendientes que tengo por realizar, algunas no muy sencillas de completar","Cuando hago un recuento de las cosas pendientes que tengo por realizar, algunas no muy sencillas de completar",27,Preocupación
4/25/2024 12:15:55,RQF9W09V,Con la escuela y situaciones en casa,Con la escuela y situaciones en casa,7,Preocupación
4/25/2024 12:16:44,Q7YR6JAL,"En momentos de sobre pensar, pensar en el futuro, viendo mi situación actual en todos los ámbitos y demás.","En momentos de sobre pensar, pensar en el futuro, viendo mi situación actual en todos los ámbitos y demás.",24,Preocupación
4/25/2024 12:21:21,YMU2FALS,Cuando no llego a tiempo a mis clases o veo mi cuenta de banco ,Cuando no llego a tiempo a mis clases o veo mi cuenta de banco,16,Preocupación
4/25/2024 12:28:34,BUUJHLBW,Cuando las cosas no avanzan de acuerdo a lo planeado ,Cuando las cosas no avanzan de acuerdo a lo planeado,13,Preocupación
4/25/2024 12:54:19,6OG08UL5,"Cuando el servicio de Transporte universitario no sale, según los horarios designados","Cuando el servicio de Transporte universitario no sale, según los horarios designados",16,Preocupación
4/25/2024 12:55:12,UYE2QAWR,En cualquier momento,En cualquier momento,3,Preocupación
4/25/2024 13:02:31,0YIJFHVF,Todos los días ,Todos los días,3,Preocupación
4/25/2024 13:31:22,0WK1Q15C,Cuando no le entiendo a algun tema de alguna materia,Cuando no le entiendo a algun tema de alguna materia,11,Preocupación
4/25/2024 14:51:28,89R7BFY3,"En la tarde, cuando llego de la escuela ","En la tarde, cuando llego de la escuela",10,Preocupación
4/25/2024 18:06:23,W8897XTA,Cuando tengo que realizar una actividad o examen de un tema que no entiendo muy bien ,Cuando tengo que realizar una actividad o examen de un tema que no entiendo muy bien,18,Preocupación
4/25/2024 18:26:25,MOXPM084,Cuando se me hace tarde y no he concluido mis deberes,Cuando se me hace tarde y no he concluido mis deberes,14,Preocupación
4/25/2024 18:32:43,DXF0Z2FN,No suelo preocuparme ya que me gusta hacer mis cosas con antelación ,No suelo preocuparme ya que me gusta hacer mis cosas con antelación,17,Preocupación
4/25/2024 18:42:00,NDMKZW1M,Cuando tengo muchas cosas que hacer y no se que hacer ,Cuando tengo muchas cosas que hacer y no se que hacer,12,Preocupación
4/25/2024 19:18:17,A8QN8I2L,cuando algo no sale como se lo tenia previsto ,cuando algo no sale como se lo tenia previsto,9,Preocupación
4/25/2024 19:33:43,UBSR9VC8,En la tarde noche,En la tarde noche,4,Preocupación
4/25/2024 19:38:25,W8ILZE4K,Al realizarme de lo rápido que avanza el tiempo y que los días llegan a parecer rutinarios/monótonos.,Al realizarme de lo rápido que avanza el tiempo y que los días llegan a parecer rutinarios/monótonos.,26,Preocupación
4/25/2024 19:49:50,ONSV8AYQ,cuando pienso sobre el futuro que me espera ,cuando pienso sobre el futuro que me espera,10,Preocupación
4/25/2024 20:20:12,OY7Q1STH,La escuela ,La escuela,2,Preocupación
4/25/2024 21:18:09,A9SQ6NWO,"Cuando hago exámenes, al no entenderle a temas, en no aprovechar bien mi tiempo","Cuando hago exámenes, al no entenderle a temas, en no aprovechar bien mi tiempo",22,Preocupación
4/25/2024 21:55:05,1C8YLNRI,"En las noches, al llegar a casa ","En las noches, al llegar a casa",9,Preocupación
4/25/2024 22:01:24,U8GAYRZ7,"Cuando mi abogada me pide dinero, y se me vienen los pagos de servicios ","Cuando mi abogada me pide dinero, y se me vienen los pagos de servicios",19,Preocupación
4/26/2024 6:49:03,F65E8SEA,"Cuando no estoy platicando con alguien, ya que empiezo a sobrepensar, por otro lado cuando los profesores empiezan a dejar demasiadas tareas y tengo esa preocupación de tener que entregar todo a tiempo","Cuando no estoy platicando con alguien, ya que empiezo a sobrepensar, por otro lado cuando los profesores empiezan a dejar demasiadas tareas y tengo esa preocupación de tener que entregar todo a tiempo",50,Preocupación
4/26/2024 10:01:08,16UOLNVY,Cuando no logro hacer una tarea.,Cuando no logro hacer una tarea.,8,Preocupación
4/26/2024 10:39:25,D1S2USQV,Actualmente con la entrega de proyectos finales y tareas ,Actualmente con la entrega de proyectos finales y tareas,9,Preocupación
4/26/2024 11:14:18,83ECQ6P2,"cuando las personas cercanas a mi viajan y no se comunican conmigo, cuando tengo una carga grande de trabajo, cuando lleno mi cabeza de pensamientos negativos. ","cuando las personas cercanas a mi viajan y no se comunican conmigo, cuando tengo una carga grande de trabajo, cuando lleno mi cabeza de pensamientos negativos.",37,Preocupación
4/26/2024 11:50:56,LS7WFV2B,Cuando no puedo administrar mi tiempo y dinero,Cuando no puedo administrar mi tiempo y dinero,11,Preocupación
4/26/2024 12:56:50,OAZ5FC8A,Cuando no me sale alguna tarea o proyecto con un tiempo definido,Cuando no me sale alguna tarea o proyecto con un tiempo definido,12,Preocupación
4/26/2024 13:17:38,DCV5DO3V,Al hacer tareas de temas que no termino de entender,Al hacer tareas de temas que no termino de entender,11,Preocupación
4/26/2024 13:22:06,STTZ7KC4,En las tardes cuando hago mis actividades pendientes tanto escolares como a parte,En las tardes cuando hago mis actividades pendientes tanto escolares como a parte,18,Preocupación
4/26/2024 13:24:46,BNMM9UFQ,"Cuando una situación está fuera de mis manos, no puedo hacer algo para resolverla en el momento","Cuando una situación está fuera de mis manos, no puedo hacer algo para resolverla en el momento",20,Preocupación
4/26/2024 13:25:21,TA1NU1V7,Por el dinero ,Por el dinero,3,Preocupación
4/26/2024 13:25:59,UGTBZ7P3,Todo el dia,Todo el dia,3,Preocupación
4/26/2024 13:40:10,SOQQDFEW,Los días en los que mi hermana tiene dolor ,Los días en los que mi hermana tiene dolor,9,Preocupación
4/26/2024 13:49:23,0A63PM6K,"Cuando procastino con mis deberes universitarios, por eso siempre debo hacer algo de tarea cuando llego a casa, si no me siento mal todo el día. ","Cuando procastino con mis deberes universitarios, por eso siempre debo hacer algo de tarea cuando llego a casa, si no me siento mal todo el día.",36,Preocupación
4/26/2024 13:50:36,X0GVR7CK,Demorar el completar mis deberes ,Demorar el completar mis deberes,7,Preocupación
4/26/2024 13:54:03,19NLQDKA,Cuando veo que mis papás tienen problemas y yo no puedo hacer nada por ellos me preocupo por ellos,Cuando veo que mis papás tienen problemas y yo no puedo hacer nada por ellos me preocupo por ellos,26,Preocupación
4/26/2024 13:57:41,2E2IMZRO,"Cuando se acerca la hora de presentar una tarea o trabajo en la escuela, más si es en equipo","Cuando se acerca la hora de presentar una tarea o trabajo en la escuela, más si es en equipo",20,Preocupación
4/26/2024 14:10:39,21X2D6PW,Cuando tengo tiempo libre y me pongo a pensar ,Cuando tengo tiempo libre y me pongo a pensar,11,Preocupación
4/26/2024 14:18:29,GP42KD2C,Cuando tengo pendientes sin hacer.,Cuando tengo pendientes sin hacer.,9,Preocupación
4/26/2024 14:32:36,27WD6UH2,"Cuando reviso mi cartera o mi estado de cuenta, ya que no sé si me alcanzará lo que tengo para suplir mis gastos","Cuando reviso mi cartera o mi estado de cuenta, ya que no sé si me alcanzará lo que tengo para suplir mis gastos",29,Preocupación
