Texto_Procesado,Emocion
Medito un rato y pienso en posibles soluciones,3
"Cuando tengo una gran carga de trabajo, especialmente en equipo, y considero que no hay un aporte equitativo.",0
No ha habido situaciones así recientemente,5
"Cuando tengo muchas tareas, trabajos que hacer, y pararse temprano",0
Cuando no entiendo cosas de la carrera,5
"Pensar y buscar una solución de inmediato, tomando en cuenta los consejos de mi entorno.",3
"Estrés, enojo, nervios.",4
Cuando estoy con mi familia,1
Cuando estoy trabajando en algún proyecto,0
en la escuela cuando dejan demasiada tarea o trabajos,4
Nerviosismo.,4
Ansiedad y preocupación,4
"Cuando miro peliculas o jugando videojuegos pues en esos momentos mi atencion esta en total dedicacion a algo mas que sucede, comprender lo que sucede. Caminando, es como un momento de reflexion solo conmigo. En cierto momento en el trabajo, al ser un trabajo manual, me gusta fijarme en los detalles, por lo que mi atencion se dirige hacia alla.",0
Sudor y dolor de cabeza,4
Pensar cómo podría afectar mi futuro y el futuro de mis pocos seres queridos.,3
Relajarme escuchando música o saliendo a caminar y una vez calmado pensé en la solución,3
Apreciar las pequeñas cosas del día,1
En la escuela cuando son finales de semestre y en el trabajo cuando sale una cosa fuera de control,0
Enojo conmigo mismo y frustración,2
"Que está en las cosas más simples, en todo lo que nos rodea y en los pequeños detalles",1
Cuando no me salen las cosas como quiero o como lo planee,0
"Aveces un vacío en el estómago, y una especie de tic de ansiedad en la pierna que me hace moverla mucho",4
El como me voy a sentir despues re tomar una decisión,3
Cuando estoy con mis amigos en la universidad y cuando logro resolver mis tareas.,1
Al terminar la uni no hay trabajo,5
1. Identificación de elecciones. 2. Razones del porque es buena esa decisión. 3. Tomar la decisión.,3
Cuando tengo demasiada carga de trabajos escolares o la noche anterior tuve insomnio,0
El sol me agota demasiado,0
"Existen muchas situaciones que me provocan estas emociones, pero lo que mas me puede afectar y provocar una molestia, son todas aquellas situaciones en las que me veo afectado por factores ajenos a mi, sin la posibilidad de no poder hacer nada.",0
"Dolor de estómago, sudor y falta de sueño",4
"Cuando estoy con mi novia, con mi familia, jugando videojuegos o dibujando",1
Anotar prioridades y que me va a costar mas,3
En esta semana se exámenes,0
La felicidad es sentirte bien contigo mismo y con las personas que amas.,1
"Cuando siento frustración o soledad, o cuando cosas del pasado se hacen muy presentes.",5
Comentarlo con mis amigos y así afrontar la situación.,3
La tranquilidad viene de la mano con la felicidad,1
Normalmente por situaciones escolares,4
"Identificar mis opciones, averiguar que sucedería en cualquier opción tomada, no solo en lo positivo, también en lo negativo y consecuencias que pueda traer, verificar que es lo que quiero hacer, si concuerda con lo que menos cosas negativas me trae tomar esa opción, si no, lanzar una ronda de volados para verificar la respuesta, después de la ronda, debatir internamente si de verdad quiero hacer eso y finalmente tomar la desición",3
"Asumo la culpa e intento solucionarlo, si no se puede si no se puede solucionar en el momento me quedo molesto conmigo mismo",2
"Cuando me la paso trabajando y después tengo que realizar tareas para la universidad, sufro desvelos",0
"En periodo de exámenes y proyectos, en el trabajo es tan pesado que llego cansado y hay ocasiones que no dan ganas de ir a la escuela",0
"Si esa situación inesperada trae una consecuencia, me estresó y me pongo de mal humor o triste. Si la situación no causa ninguna consecuencia, trato de relajarme.",2
Siga siendo un artista que domine la espontaneidad,1
"La felicidad es cuando encuentras la paz en uno mismo, cuando no te limitas a nada, te sientes vivo al hacer cosas que tu amas y aprecias.",1
"pues hablando emocionalmente, no lo he estado. pero físicamente si, por las distancias que luego camino",0
Mayor parte del tiempo por las labores académicas,0
"Corazón acelerado, sudoración",4
"Tratar de lamentarme lo menos posible y optar por una postura optimista para enfrentar los problemas. Siempre trato de ver el lado bueno de las cosas y decirme a mi mismo que todo saldrá bien, solo hay que seguirle dando.",3
"El significado de la felicidad reside dentro de encontrar algo que te motive todos los días a salir de la cama, que no te prive de sentir y vivir lo que el cuerpo hable y sienta.",1
"Cuando salgo de trabajar, o el viernes que paso me sentía sin ganas de nada y mejor me dormí y al otro día amanecí mucho mejor",0
"Al principio siempre trato de evitarlo a toda costa, pero claro, al final siempre termino afrontándolo",3
"Cuando las cosas no están bajo mi control, o sea, dependen de terceros. Por lo general no me enojo y no exploto de ira.",0
"Primero me preocupo, si afecta ha alguien más pido disculpas, luego me siento culpable conmigo misma, y tomo nota sobre los factores que pudieron llegar a aportar a que pasara el suceso inesperado, para que así en la próxima situación similar pueda prevenir dicho suceso.",2
"Primero pienso en las consecuencias que podría tener tomar alguna decisión, ya sean malas o buenas, después de analizar cuál es la opción que es más viable, tomo la decisión que mejor se adapte a mis necesidades.",3
"ver las opciones posibles , comparar la opcion elegida y elegir",3
Cuando algunas personas intento explicarles lo que deben hacer y no lo hacen y fallan en las instrucciones dadas.,0
Cuando algo que he intentado muchas veces no me sale,0
Al salir de un examen que no comprendí correctamente o de alguna acción que se pudo malinterpretar.,4
"Con calma, prefiero relajarme primero",2
Ser pleno con uno mismo,1
"Tras fallar en alguna tarea, o al darme cuenta que estoy procrastinando",0
"En la escuela, hay trabajos o proyectos que son muy tediosos o difíciles de hacer, que quitan mucho tiempo y solo te estresan/frustran",0
"Me estreso al inicio, después me rio del problema, digo meh, suspiro, a veces lloro e intento ya calmarme después de ello",2
Días libres,0
"Identifica y evalúa alternativas, considera consecuencias, consulta opiniones con otras personas, tomar una decisión.",3
Buena,1
"No tengo una manera procedural de reaccionar ante situaciones así,solo las afronto y ya",3
Cuando mi familia tiene que pasar situaciones complicadas,4
Cuando me enojo con mis hermanas o cuando me enojo con mi novio.,5
Primero reacciono por impulso una sensación de preocupación pero despues trato de calmarme y respirar y tratar de buscar alguna solución,2
Cuando recuerdo el fallecimiento de un ser querido,5
"Actualmente me siento cansado todo los días ya que estoy realizando varios proyectos y tareas que exigen avances o entregas pronto a vencer, lo cual mas tiempo, dejándome sin tiempo para poder realizar actividades que me gustan.",0
"Pensar , preocuparme, llorar, buscar una solución, sobrepensar constantemente, escuchar consejos u opiniones de mi entorno y elegir.",3
De manera general en cosas sobre las que no tengo control.,4
Al tratar de hacer actividades que deberían ser fáciles.,5
Vive la vida a tu manera,1
"pienso cuales son mis posibles soluciones y sus consecuencias, elijo la mejor y la llevo acabo",3
Cuando tengo mucha tarea,0
No he tenido esa emoción últimamente,5
"Pensar en las posibilidades y repercusiones de la decisión, además de la honestidad",3
Cuando estoy en paz,1
Al ver noticias y hacer proyectos,4
El estar bien sin preocupaciones,1
Cuando trabajo turnos de 12 hrs,0
Durante la entrega de proyectos finales,0
En situaciones donde debo tomar decisiones por mas insignificantes o simples que sean,4
Trato de distraerme con otras cosas,3
Ser valiente y enfrentarla esperando que salga lo mejor posible.,3
"Rupturas y cambios de dinámicas en relaciones, crisis por el futuro incierto después de la universidad",5
Libertad,1
"Primero me calmo, y espero para pensar todo objetivamente, evalúo las diversas soluciones y procedo con cautela, trato de no estresarme tanto",3
Cuando tengo muchos pendientes y no me alcanza el tiempo.,0
Trato de no estresarme y buscar una solucion,2
Cuando siento frustración,5
Maldigo y me enfado,2
Tratar de estresarme lo menos posible para llegar a pensar en soluciones eficaces,3
Mis gatos,1
Siempre que viajo todos los días.,0
"En el trabajo, cuando tengo mucha tarea l olvido hacerla y deudas",0
primero buscar las ventajas y desventajas de tomar una desicion y consultar con otras personas que opinan,3
Enojo u frustración,2
Cuando me frustró por no poder realizar algo,5
Vivir y dejar vivir,1
Cuando tengo malas notas o no entiendo algo por mucho que me esfuerce o trate de comprenderlo,5
Hablarlo con cuantas personas pueda para buscar soluciones plausibles,3
"Cuando estoy frustrado por no poder hacer un trabajo, cuando siento que no estoy dando el ancho en el doctorado o no avanzo en mi investigación, cuando me desespero y estoy demasiado estresado por todas las cosas que tengo que hacer.",5
"Cuando tengo algún trabajo o proyecto que entregar y el plazo está próximo a vencerse, cuando no puedo ayudar económicamente en mi casa y cuando me siento presionado por otras personas.",0
Al inicio un poco de impotencia pero después busco una solución rápida a la situación.,2
"Si llevo una mala racha de cosas, yo lloro",2
Al estar con mi familia o amigos o jugar en linea con amigos,1
"Analizar opciones, identificar riesgos, visualizar escenarios, tomar la decisión",3
"Pensar si puedo sobrellevarla y cuánto tiempo me tomaría. Si es muy difícil, frustrarme y llorar",3
"Generalmente cuando me analizo a mi mismo, me comparo con los demás, ni me siento suficiente, tal vez sobre pienso mucho",5
Casi toda la semana por no dormir bien por entrega de proyectos,0
"Ese sentimiento de alegria al realizar una accion, ya sea para uno mismo o para otras personas",1
En el trabajo cuando las ventas están bajas,4
Definiria a la felicidad como los momentos increibles que pasas a lo largo de tu dia.Aquellos que te preovocan una sensación de alegría.,1
"Comprendo la situacion, analizo la situacion, propongo la mejor opcion y la realizo",3
"La verdadera felicidad es cuando estás comiendo, platicando y riendo con tu familia, sin que nada más importe",1
Enojo,4
Cuando me dejan muchas tareas y no entiendo bien alguna cosa,4
La pensar que no estoy disfrutando mi vida universitaria y cuando recuerdo que soy foráneo.,5
Ganas de rascar o apretar,4
Problemas familiares o angustia por no llegar poder pasar mis materias,5
"Si ya es inevitable, solo calmarme y dejar de apresurarme, relajarme y llegar con la mente tranquila a donde voy, no se puede evitar lo inevitable",2
"ansiedad, desconcentración, debilidad, miedo, desesperanza, desanimo, apatía, coraje, desesperación,",4
"Paz mental, la búsqueda de la superación personal.",1
"Suelo tomarme un momento para reflexionar y calmarme. Luego, analizo la situación de manera objetiva, buscando posibles soluciones y considerando las consecuencias de cada opción. También suelo buscar apoyo en personas de confianza para obtener diferentes perspectivas y consejos. Finalmente, elijo la mejor opción y actúo con determinación y paciencia para resolver la situación de la mejor manera posible.",3
Todos los días excepto los domingos,0
Cuando hace falta el dinero,4
"Cuando tengo muchos trabajos, proyectos y se me junta con mis obligaciones",0
Normalmente antes de dormir pensado en pendientes que no se pudieron solucionar,4
"Cuando siento que progreso en mis metas, cuando veo que las personas más cercanas a mí se encuentran bien.",1
Analizar todas las posibilidades antes de tomarla,3
"sensaciones de espasmos, opresion en pecho y sin poder respirar",4
"Me estreso, muchas veces lloro por que todo lo tengo bajo tiempos para poder realizar las mayores actividades posibles",2
Después de un día estresante o después de tener un conflicto en mi relación y a veces sin que pase nada en general.,0
Con la escuela y situaciones en casa,4
Pensar en todas las posibles opciones que puedo tomar y basarme en la logica para elegir o experiencia previa incluso puedo recurrir a otra persona,3
"Tranquilizarme, tratar de tener paciencia y analizar la situación para accionar de manera rápida y eficaz",3
Cuando no atiendo las tareas que debo hacer. O hago algo mal,4
"Supongo que es un sentimiento que nos hace sentir bien, más enérgicos, con euforia, amor, paz y a veces serenidad.",1
Cuando salgo tarde de mi casa por hacer otras cosas (y creer que llego rápido a otros lados).,4
"Cuando me comparo con los demás, cuando considero que la reacción/conducta de otras personas es imprudente y afecta mi ambiente, cuando tengo que depender de los demás para concretar mis tareas.",0
"Algunas veces estoy sensible y es cuando lloro, grito o me siento unos momentos. Pero normalmente simplemente busco la forma de seguir con mis actividades urgentes y solucionar los problemas",2
"En clases, toda la mañana cuando siento que no puedo retener todo",4
Conviviendo con mis amistades,1
"Yo tiendo mucho a procrastinar, entonces al final de la semana tengo muchas cosas que hacer y eso me estresa hasta puedo llegar a llorar, el hecho de pensar que no lo voy a lograr me pone mal",5
"Identifico cuales acciones están bajo mi control, y cuales no, cuales son consecuencias de mis acciones y cuales no",2
Cuando me encuentro reunido con personas que quiero,1
"Satisfacción de lograr las cosas, sentir bienestar con las personas a mi alrededor y hacer cosas por los demás",1
Cuando no puedo administrar mi tiempo y dinero,4
"Ver lo bueno y malo que puede pasar,en qué me afectaría positiva o negativamente",3
Trato de calmarme y afrontarlo lo más pronto posible,3
1. Comparar los beneficios y desventajas que trae cada desición 2. Preguntar a mi familia acerca de lo que ellos harían si estuvieran en mi posición 3. Oraria a mi Dios y le pediría sabiduría para poder tomar la mejor decisión.,3
"Suele importarme poco, no pasa de una frustración fugaz",2
"Estando con mi pareja, organizando un proyecto y que salga bien",1
Cuando las cosas no salen lo planeado.,0
"Vivir una vida libre de preocupaciones y conflictos con las personas, cosas y comodidad que uno imagina o sueña tener.",1
Bailando,1
Trato de no estresarme encontrar una solución rápida y sino no sucede lo que quiero atenuarme a las consecuencias sin enojo,2
Algunas veces al regresar de la escuela,0
Una vida sin preocupaciones,1
Cuando tengo mucga tarea o ante ciertas situaciones que para mi no son agradables o incomodas,0
Algunas actitudes/acciones de las personas pueden llegar a molestarme y me suelo estresar al intentar realizar demasiadas cosas sin ir concluyendolas o en situaciones que me causen incomodidad.,0
Cuando tengo que gastar dinero,4
Me estresa,2
"Cuando las cosas no son como quiero o me parecen injustas, o cuando no logro comprender conceptos teóricos de mis estudios",0
Al compartir momentos agradables con personas cercanas.,1
"dolor de cabeza, dolor de estomago y dolor de hombro",4
"He sentido alegría últimamente con cosas que parecieran ser sencillas, como lo es ver alguna película o serie con mi hermano, comer la comida que prepara mi mamá (ya que actualmente me encuentro estudiando lejos de mi lugar de origen, así que no suelo ir seguido por temas económicos), escuchar música y cantarla, platicar con mis amigos de cualquier cosa y que todo sean risas, esas situaciones son las que me dan alegría últimamente.",1
En la tarde-noche,0
Levantarse sin preocupaciones,1
"No me siento estresado ante eso, normalmente me encuentro calmado",2
"Me quedo pausada, pensando un momento en todas las consecuencias por las cuales puedo pasar, y trato de darle calma a mi mente y buscar soluciones.",3
Cuando tengo que realizar muchas actividades y siento que son muchas o son difíciles y solo tengo poco tiempo para realizarlas,0
En el trabajo y en días de entrega de trabajos,0
Escuchando música,5
En las mañanas y a veces durante la clase de 11 a 1,0
"Evaluar pros y contras, preguntar a quienes hayan hecho una elección similar antes y comparar eso con mis opiniones personales para ver qué se siente más correcto para mí",3
Cuando no puedo tomar el control de las cosas.,0
"Me enojo, y me estresó",2
Que me conviene a mí y a los demás,3
No,1
"Al sentirme solo, incomprendido, y sin motivaciones",5
Al procrastinar y no hacer tareas,4
"Calor, cansancio, ganas de vomitar, cuerpo tembloroso.",4
Cuando me alcanza el dinero y por alguna razón tengo que pagar algo y no tengo.,4
Cuando tengo un logro en una actividad dificil,1
Me estreso de que no me salen las cosas como yo quiero.,2
Pensar las consecuencias de un futuro,3
Participar en un evento en donde no pudimos dormir bien,0
Decir pues ya ni pedo y continuar,2
"Primero, trato de solucionarlo, si no, recurro a mis papás, también con mis amigos a que me aconsejen y finalmente actuo.",3
"Primero estar tranquilo, analizar la situación y tomar una decisión",3
Cuando siento impotencia de no lograr mis metas,5
Con preocupación y nerviosismo,2
"Soy una persona estresada, normalmente cuando ocurren las resuelvo pero siempre estoy con el nerviosismo de que sucedan.",2
La felicidad es momentánea pero siempre puede estar presente si asi lo buscamos,1
"dolor de cabeza, falta de sueño",4
"Encontrarse en paz, sin ninguna preocupación, pasándola bien con seres queridos o simplemente descansando y recuperándose viendo algo entretenido.",1
Jugando fútbol y conviviendo con la persona que me gusta,1
Cuando me siento saturado de trabajo y demasiado cansado para seguir haciendolo,0
"Aumento del ritmo cardiaco, sudoración etc.",4
"Ansiedad, me como las uñas, quiero estar solo pensando",4
"La mayor parte del tiempo me he sentido así, he tenido momentos en los que me siento con un poco de motivación.",0
TERMINANDO MI JORNADA LABORAL,0
cuando salgo de casa,4
"Dolor de cabeza, agitación",4
"Yo creo que la felicidad está en las pequeñeces de la vida. Respirar, comer, jugar, ser libre, y convivir con la gente.",1
Le pregunto a personas que tuvieron casos similares y pudo ayuda,3
"Soy muy tranquilo, solo hago lo que está en mis manos para resolver tal situación, no me molesto conmigo ni con lo que sucede",2
Durante un ataque de ansiedad o colapso mental. Cuando me acuerdo de algún evento pasado sumamente triste o nostálgico.,5
"Mantener la calma y tomar la decision mas adecuada , sin prejudicar a nadie",3
"Cuando escucho música, cuando estoy tranquilo",1
Emocionalmente resolviendo mis problemas (personales y escolares),0
Cuando las cosas no salen como quiero,5
Ninguna,5
"Considerar las causas y consecuencias, tener una grado de importante en mi vida",3
"Pienso en posibles soluciones, no me desespero rápido",2
1. Evalúo las opciones 2. Respiro lentamente 3. Identificó en qué me beneficia o no 4. Pregunto a personas cercanas su opinión 5. Tomó la decisión,3
"La ausencia de mi mamá, el problema que atravieso con mi familia nuclear,la sensación de sentirme sola en medio de tantos problemas.",5
"Diría que el significado está en el camino que cada individuo recorre para encontrar su felicidad, ya que es subjetivo pero todos persiguen algún objetivo y en cada camino hay un universo de cosas que nos hacen felices",1
"Despues de dias donde el trabajo fue pesado y tengo que hacer tarea, con pocos momentos para descansar",0
"Todos los días, incluyendo fines de semana, aunque intento dormir mis ocho horas, estar con el gym, la uni, las tareas, a veces las salidas con amigos y llegar a mi casa algunas veces a cocinar, me hacen sentir cansado todo el tiempo. Intento rendir durante la semana, hay algunas clases en las que me gana el quedarme dormido de a ratos, y son los días Sábado y Domingo, donde siento las consecuencias pues, aunque pueda dormir a veces hasta 10 horas, no me siento con ganas para hacer nada.",0
Estrés,4
A veces con frustración si se que son cosas qie pude haber evitado pero otras es como todo tiene una razón de ser y si no se dio fue por algo aunque si causa un poco de molestia,2
Cuando me pagan en el trabajo,1
"Cansancio,dolor de cabeza, estres, fatiga y a veces mareo.",4
"El tener que vivir un día más, sonará medio ridiculo pero tener que afrontar el mañana me está cansando",4
"Dolor de estómago, diarrea, respiración agitada, ritmo cardíaco acelerado y dolor de cabeza.",4
Cuando no duermo mis 8hrs,0
En clases de álgebra,4
Temblor de manos y corazón acelerado.,4
"a mi percepción la felicidad es hacer lo que te gusta, vivir la vida. Pero claro, no puedes ser feliz siempre, de lo contrario pones en juego tu futuro. Es muy bueno ser feliz pero luego recuerdo que tiene consecuencias.",1
Enfrentarlo sin pensarlo y tomar en cuenta la ayuda de otras personas si es necesario,3
"Tiendo a estar mas inquieto, agarrarme el cabello y morderme las uñas.",4
"Primero, y dependiendo de la situación, tiendo a llorar y aclarar mis emociones, ya que me cuesta mucho identificarlas correctamente, después de eso analizó que debo hacer",3
Consiguiendo metas y éxitos,1
Después de trabajar,0
"Cuando salen múltiples imprevistos en un solo día, cuándo percances que no depende de mi me afectan directamente",0
dolor de estomago y escalofríos,4
Con la falta de comunicación y comprensión por parte de mi familia,0
Sobrepienso mucho las cosas,3
Cuando estoy solo,5
"Pensar en las consecuencias para bien o para mal, ver los riesgos y pensar.",3
"Cuando me falta alguna tarea por entregar, cuando llegaré tarde a algún lugar y cuando ya no tengo dinero para mi semana.",4
"Cual me conviene, cual tiene mas razón y lógica",3
"Buscar más opciones, comparar las opciones y reflexionar sobre la opción que elegí",3
"En momentos de frustración, por algo que no ha salido de acuerdo a lo esperado",5
Cuando hay muchos problemas,5
Ser muy pensativo,4
"Cuando no entiendo varias cosas de la universidad, me preocupa que pasara con eso",4
Pensar en todas mis posibilidades y escoger la que sea más conveniente,3
Con el estado de salud de mi madre que se encuentra delicada,5
Trato de mantener la calma ante estas situaciones y buscar alguna alternativa para que el inconveniente no perjudique mi dia,2
La felicidad es un regalo que debemos disfrutar cuando llega,1
Cansancio,4
"Como se puede ser feliz, aun asi estes pasando por tus peores momentos",1
Cuando desconozco cosas de mi nuevo trabajo,4
Ira o tristeza,4
"Cada momento, más cundo veo peliculas sentimentales",5
"Cuando voy a eventos relacionados con mi carrera y en donde conozco mucha gente Jugando volley con el equipo de mi universidad , me libera mucho Visitando a mi familia ya que soy foranea",1
Con preocupación,2
Ninguna,1
Estar con amigos,1
Trato de buscar una solucion ya que se que casi nunca cuento con nadie mas que yo mismo,3
"Realmente no he tenido situaciones donde quiera llorar, si es verad que hay dias en lo que pueda sentir mas solitario pero no preciamente quiere decir que a la vez me sienta triste.",5
Sudoración excesiva en las manos y tics nerviosos discretos en la pierna.,4
"Mayormente por pensar en mi futuro y tratar de conseguir mis metas, es lo que a veces me llena de frustración",0
"Visualizar todas las opciones, analizar una por una sus ventajas y desventajas, e imaginar las consecuencias de decidir por una opción y cuál de ellas sería la mejor o la que no iría tan mal.",3
"Prioridad, resultado, recursos disponibles, tiempo invertido",3
"Cuando olvido hacer algo importante como los trámites o entregar tareas, no poder entrar a clase o no entender lo que me enseñan, ver que otras personas son mejores que yo y vamos en el mismo nivel.",4
Cuando veo a mi familia,1
Cuando cae la noche y me pongo a reflexionar,5
Cuando no estoy cumpliendo con los tiempos de mis cronogramas en el calendario,0
Cuando las cosas no salen como las planeo,0
"Cuando hago un recuento de las cosas pendientes que tengo por realizar, algunas no muy sencillas de completar",4
Cuando estoy bajo la entrega de algo en un determinado tiempo,0
"La neta, primero, entrar en pánico, ya después ver los peores escenarios y empezar a prevenir/actuar según esos casos",3
"Cuando no acabo mis deberes del día, cuando no comprendo bien un tema",4
Cuando tengo que hablar,0
Un lugar boscoso frío de una montaña,1
"Cuando estoy solo, con mis homs de mi barrio, con mi familia.",1
Cuando hago actividades que son de mi agrado,1
Escuchando música. Jugando videojuegos. Saliendo con mi pareja o amigos. Hablando con mi mamá.,1
No sabria que idea,1
"Frustración, enojo e impotencia",2
Cuando impera el caos o desorden. Cuando tengo que ir a lugares muy concurridos o con sonidos tan altos que no se escucha nada (pero si se juntan ambos). El calor tiende a estresarme también. Cuando una persona me molesta varias veces para hacer algo que no quiero porque no le veo sentido (o me obligan). Cuando alguien cambia mis planes solo porque sí y de último minuto.,0
Ultimamente siento bastante felicidad cuando convivo jugando con mis amigos.,1
"Recordar que mis padres fallecieron, cuando me siento que estoy estancada y no he hecho nada, cuando me siento presionada porque la abogada de mi juicio me pide dinero, cuando de repente empiezo a sobrepensar",5
"Podría decir que en una escala del 1 al 10 estas situaciones me afectan un 5, porque se que son innesperadas y si no hay manera inmediata de resolver, trato de no estrenarme innecesariamente",2
"Nerviosismo, sudoración",4
Si es algo malo suelo llorar. Lloro mucho y después comienzo a planear qué puedo hacer para salir de ahí. Si siento que no puedo sola pido ayuda a las personas que sé que me van a brindar la ayuda adecuada para esa situación.,3
"Entender las consecuencias, aceptarlas y asi buscar la mejor opcion consiguiendo el mejor beneficio posible.",3
Cuando enfrento una situación difícil trato de mantener la calma y la mente fría lo máximo posible.,3
"Pues diario veo a mis amigos, y esas convivencias me alegra, sobre todo cuando hacemos bromas o nos quedamos jugando videojuegos mientras esperamos la próxima clase, también en el gym cuando puedo superar mis records, o levantar más peso, siento alegría de saber que estoy progresando, eso en el instante, pero a la larga me queda un sentimiento de satisfacción. Ver sonreír a la chica que me gusta o cuando logra una meta también es bonito, más que nada tener esa sensación de ver que le va bien en la vida, me genera alegría",1
"Primeramente, orar a Dios, ya que Él es el único que puede ayudarme a resolver los problemas que enfrento, posteriormente, analizo las posibles soluciones al problema para así tomar una decisión",3
No me eh sentido preocupado,4
"Cuando juego futbol y mi equipo va ganando o no me tomo tan enserio el partido, cuando completo una tarea rápido o una tarea complicada y cuando convivo con mis amigos.",1
"Primero analizar la situación, posteriormente analizar las posibles soluciones, descartar las que no aportan y de esa forma quedarme con la elección más prudente y concisa.",3
"Lo que he identificado al momento de enfrentar una situación difícil es que acudo a un espacio seguro, ya sea un lugar o amigos como red de apoyo. Posteriormente les converso sobre lo que sucede, y después al platicarlo llego a una resolución. En caso de ser una situación difícil a resolver de manera inminente, primero me aseguro de que toda emoción fuerte la disipe mediante alguna técnica de ""grounding"" y posteriormente decido lo que mejor me convenga.",3
Cuando sobre pienso las cosas.,4
Trato de resolverlo sola y muchas veces busco ayuda con mi pareja o en casos donde no puedo con mis padres porque 2 cabezas piensan mejor que una,3
Al dejar de ser material y no existiendo.,1
"Dolor de cabeza, perdida del sueño, nerviosismo, malestares estomacales y disociación de la realidad",4
"Calculo los riesgos de cada cosa, si le genera un problema a otras personas no lo hago, pero si me llegará afectar solo a mi priorizo esa elección y en caso de ser difícil, muy raras veces lo decido al azar.",3
Cuando salgo solo,1
Cuando hay tiempos de entrega,0
"Escalofríos, agotamiento, taquicardia",4
"La mayoría de mi día, estoy preocupado por el día de mañana",4
"Ver mis opciones, valorar los pros y contras de cada una, tomar en cuenta lo que quiero o necesito, hacer la elección",3
Cuando recuerdo cosas del pasado,5
"Ver por qué si y por qué no a cada una de las.opciones, además de pedir opiniones",3
"Despues de realizar una larga lista de tareas, institucionales y personales.",0
trato de mantener la calma y buscar opciones para resolver el problema,2
Cuando no logro comprender algo o mi situación empeora con mis acciones.,0
Tranquilidad,1
"Cuando algo me sale mal, o cosas similares.",0
"Me planteo el como superarlo física y emocionalmente, tratando de no ser afectado ni mis alrededores salgan afectados por como me sienta al respecto, de algún modo adaptando mi mente para decir que ya sucedió y ni modos.",3
"Ante estás situaciones primero me preocupo, trato de calmarme y resolver la situación",2
"Depende, aveces solo sigo con mi día, aveces es un chale y a seguirle, aveces reacciono muy exagerado y otras solo me estreso",2
"Miedo,",4
Un poco con miedo pero posteriormente con enojo y frustracion,2
Por carga de trabajo por finales del semestre y que haya la posibilidad de que al final no los pueda entregar y puede que repruebe.,4
Al terminar el dia con la universidad,0
Cuando tengo hambre o cuando estoy muy consentrado y me distraen,0
"Cuando estoy sola, duermo o estoy con mis gatitos, o cuando paso bien una materia o le entiendo a todo",1
en casi todas,0
"no la busquemos, creemosla",1
