Marca Temporal,ID único,"4. ¿En qué situaciones de su día a día, puede identificar que se ha sentido preocupado?"
4/25/2024 19:18:17,A8QN8I2L,cuando algo no sale como se lo tenia previsto 
4/25/2024 19:33:43,UBSR9VC8,En la tarde noche
4/25/2024 19:38:25,W8ILZE4K,Al realizarme de lo rápido que avanza el tiempo y que los días llegan a parecer rutinarios/monótonos.
4/25/2024 19:49:50,ONSV8AYQ,cuando pienso sobre el futuro que me espera 
4/25/2024 20:20:12,OY7Q1STH,La escuela 
4/25/2024 21:18:09,A9SQ6NWO,"Cuando hago exámenes, al no entenderle a temas, en no aprovechar bien mi tiempo"
4/25/2024 21:55:05,1C8YLNRI,"En las noches, al llegar a casa "
4/25/2024 22:01:24,U8GAYRZ7,"Cuando mi abogada me pide dinero, y se me vienen los pagos de servicios "
4/26/2024 6:49:03,F65E8SEA,"Cuando no estoy platicando con alguien, ya que empiezo a sobrepensar, por otro lado cuando los profesores empiezan a dejar demasiadas tareas y tengo esa preocupación de tener que entregar todo a tiempo"
4/26/2024 10:01:08,16UOLNVY,Cuando no logro hacer una tarea.
4/26/2024 10:39:25,D1S2USQV,Actualmente con la entrega de proyectos finales y tareas 
4/26/2024 11:14:18,83ECQ6P2,"cuando las personas cercanas a mi viajan y no se comunican conmigo, cuando tengo una carga grande de trabajo, cuando lleno mi cabeza de pensamientos negativos. "
4/26/2024 11:50:56,LS7WFV2B,Cuando no puedo administrar mi tiempo y dinero
4/26/2024 12:56:50,OAZ5FC8A,Cuando no me sale alguna tarea o proyecto con un tiempo definido
4/26/2024 13:17:38,DCV5DO3V,Al hacer tareas de temas que no termino de entender
4/26/2024 13:22:06,STTZ7KC4,En las tardes cuando hago mis actividades pendientes tanto escolares como a parte
4/26/2024 13:24:46,BNMM9UFQ,"Cuando una situación está fuera de mis manos, no puedo hacer algo para resolverla en el momento"
4/26/2024 13:25:21,TA1NU1V7,Por el dinero 
4/26/2024 13:25:59,UGTBZ7P3,Todo el dia
4/26/2024 13:40:10,SOQQDFEW,Los días en los que mi hermana tiene dolor 
4/26/2024 13:49:23,0A63PM6K,"Cuando procastino con mis deberes universitarios, por eso siempre debo hacer algo de tarea cuando llego a casa, si no me siento mal todo el día. "
4/26/2024 13:50:36,X0GVR7CK,Demorar el completar mis deberes 
4/26/2024 13:54:03,19NLQDKA,Cuando veo que mis papás tienen problemas y yo no puedo hacer nada por ellos me preocupo por ellos
4/26/2024 13:57:41,2E2IMZRO,"Cuando se acerca la hora de presentar una tarea o trabajo en la escuela, más si es en equipo"
4/26/2024 14:10:39,21X2D6PW,Cuando tengo tiempo libre y me pongo a pensar 
4/26/2024 14:18:29,GP42KD2C,Cuando tengo pendientes sin hacer.
4/26/2024 14:32:36,27WD6UH2,"Cuando reviso mi cartera o mi estado de cuenta, ya que no sé si me alcanzará lo que tengo para suplir mis gastos"
4/26/2024 14:33:09,4TF29YIO,Por la noche o durante mis ratos dónde no tengo nada que hacer comienzo a pensar mucho 
4/26/2024 14:35:23,UZNBAHRB,Uno que otro día si
4/26/2024 14:50:06,87RRAHBJ,Con las tareas que tengo pendiente y aún no las hago
4/26/2024 15:01:39,EYYTA3LD,Al tener que hacer una habilidad que debería ser tan sencilla como preguntar algo.
4/26/2024 15:35:25,W49IM590,Cuando me alcanza el dinero y por alguna razón tengo que pagar algo y no tengo.
4/26/2024 16:54:59,7HKJBSVI,Cada vez que tengo que realizar un trabajo o actividad escolar me preocupa el no poner hacerlo bien y fallar
4/26/2024 16:57:51,41U4SDTP,Ninguna
4/26/2024 17:05:18,25DC2F4Q,Cuando pienso en mi futuro 
4/26/2024 17:07:40,PPI1SV0E,En las que pienso de mi futuro
4/26/2024 18:22:59,KQGSATHF,Al principio del día
4/26/2024 20:27:53,3ZF411GH,En mis estudios y calificaciones 
4/28/2024 12:04:28,5CYE0BRU,Cuando tengo pendientes sin hacer
4/28/2024 17:44:49,43K4VHCP,"Cuando no tengo ganas de hacer nada, y eso me preocupa porque se que no es normal y que me va a traer varios problemas en la escuela"
4/28/2024 22:35:59,FA8HZ0ZJ,Al transitar la ciudad de noche
4/29/2024 9:09:29,KFH9XJ94,Cuando siento que se me acaba el tiempo para un proyecto
4/29/2024 13:24:37,7I9KZQ70,"Si me encuentro con algún pendiente o una actividad rezagada, en donde no tengo ni idea de cómo empezar"
4/29/2024 13:26:44,TBIDV696,Soy una persona despreocupada
4/29/2024 13:30:35,BR14PE8E,Cuando desconozco el paradero de algun familiar o amigo 
4/29/2024 13:31:46,PRUNGY5A,Por la entrega de tareas y proyectos de la escuela 
4/29/2024 13:39:07,WHUIDLRU,Por las clases de universidad y problemas de pareja
4/29/2024 13:40:04,442SR3BQ,Mayormente en las clases que son más estresantes 
4/29/2024 13:53:27,R5NND2PJ,"Cuando no he estudiado, cuando debo alguna tarea o cuando se me hace tarde "
4/29/2024 14:03:24,S62P3R06,"Cuando se me hace tarde para llegar a algún lugar, cuando no encuentro solución a algunos problemas, en ciertas situaciones sobre mi futuro"
4/29/2024 14:05:35,VBGGGTXX,Haciendo tareas que no entiendo por completo
4/29/2024 14:21:13,YO9QP9GQ,Cuando estoy en la escuela
4/29/2024 14:21:52,TIRMAXIL,Normalmente por situaciones escolares 
4/29/2024 14:36:58,X939VKYG,Me he sentido preocupada cuando mi esposo tiene problemas en su trabajo.
4/29/2024 14:50:49,EE1OP684,El estrés de pensar que debe salir todo bien
4/29/2024 15:07:54,G1NFK78R,días antes de un examen 
4/29/2024 16:31:34,TW29QEAI,Al salir del hospital y pensar que me falto hacer algo y tendre que regresar a terminarlo 
4/29/2024 18:47:56,EC28OB0I,"En la última semana, por proyectos"
4/29/2024 23:14:46,YWDANKQ3,"A final del día, sobrepensando "
4/30/2024 0:22:30,41GHNML3,Cuando estoy cerca de personas que no conozco 
4/30/2024 0:30:58,ZYO6EKLW,Cuando me pongo a pensar en si pasare mi examen de admisión a la universidad 
4/30/2024 8:38:45,WLSM1SUM,En clases 
4/30/2024 10:44:29,7RSZOAWX,"Al entregar las prácticas de una materia, en que entregue a tiempo y todos los trabajos de otra materia, y cuando viajo con mi hermano en la moto "
4/30/2024 11:00:56,NOQASZVA,Cuando debo entregar mis tareas o superar un duelo del que llevo un año tratando de superar
4/30/2024 13:35:25,N9JIRQ1R,Al pensar en las deudas
4/30/2024 14:30:58,RVJ6EPRG,Cuando pienso si estoy en la carrera que quería estudiar
4/30/2024 18:16:40,2WMZZ63C,"Cuando no cumplo con la entrega de tareas por parte de la universidad o cuando no soy disciplinado y constante en otros aspectos, tanto como personales y escolares."
4/30/2024 18:38:14,53710675,Cuando tengo que revisar mi agenda del día siguiente
4/30/2024 21:04:57,7CTEOZ0B,Cuando mi avance en tareas y proyectos no sale como lo esperado.
5/1/2024 8:23:10,RJYNX3WD,Ninguna
5/1/2024 16:59:46,IRUH1G2Z,"Cuando sientes que no desempeñas un papel fundamental para la mejora de tu vida, ya sea en la educación"
5/1/2024 20:39:05,IYJTK4UN,Mientras me traslado a de mi casa a la universidad o viceversa.Cuando dejo que mi hermana esté sola.
5/1/2024 21:34:58,J7YGJPIE,Cuando hay alguna tarea pendiente y esta vale para mucha calificacion y no se a mandado
5/1/2024 23:34:11,XA5DPHB3,Al pensar en el futuro 
5/2/2024 1:19:32,6QCKW4ZX,"Por no ir a trabajar 
O por un trabajo de la escuela "
5/2/2024 18:33:09,BHZT40UO,Me he sentido preocupado cuando se que debo entregar alguna tarea o actividad y hay un periodo corto de tiempo para entregarlo.
5/2/2024 23:42:40,Q8HPCRF0,"Cuando son exámenes, cuando en el trabajo hay algún problema y tengo que resolverlo."
5/3/2024 9:27:43,9OCOYQ5S,"Cuando tengo algún pendiente, como realizar algo en casa, tarea o algún compromiso, provoca que me sienta preocupado al no tener aún completada esa actividad"
5/3/2024 16:49:43,,"En la escuela, tareas finales, materias con posibilidad de reprobar"
5/3/2024 16:49:47,UBXXESOE,Cuando tengo un examen. Cuando tengo una exposición y no estoy segura de que resultado tendrá.
5/7/2024 16:14:01,DLCOTDB3,"Cuando expongo, o hago examenes, que no llego a veces a estudiar, o cuando no entrego unos trabajos a tiempo."
5/7/2024 17:52:41,73E51Z9Y,"Cuándo debo hacer muchas cosas a la vez, y siento que no me alcanza el tiempo"
5/8/2024 0:16:33,NZNKVJN5,Cuando desconozco cosas de mi nuevo trabajo 
5/9/2024 13:11:23,K34YLW69,En la escuela
5/9/2024 13:19:18,9NUZ5PKN,Hacer las cosas apresurada 
5/9/2024 13:20:19,QXWPZ23V,Cuando me dejan muchas tareas y no entiendo bien alguna cosa 
5/9/2024 13:26:41,97RWBCRJ,"La última vez que me pasó, fue hace unos días, que por error de mi primo se bloqueó mi laptop y tenía mi proyecto guardado, mi preocupación era no poder recuperarlo y tener que empezar desde 0"
5/9/2024 13:37:30,G63ZMG4B,En cuestión de familia 
5/9/2024 13:48:45,GL74ZXRL,al pensar en las fechas para terminar mi pendientes
5/9/2024 14:22:33,VXWOTMTO,Cuando tengo cosas por hacer
5/9/2024 14:27:31,7QQDXHQ7,Por carga de trabajo por finales del semestre y que haya la posibilidad de que al final no los pueda entregar y puede que repruebe. 
5/9/2024 14:34:45,WW1GHWY1,Cuando éstoy pensando mucho en el tema
5/9/2024 14:35:17,4F5JZDBC,En las tareas que son difíciles de resolver 
5/9/2024 16:15:48,9OS9PHYF,Cuando tengo tareas o pendientes 
5/9/2024 17:35:34,16RK386Y,"En situaciones personales, como en mi relación o en la universidad "
5/9/2024 18:29:23,1RKPWNBF,"Cuando se que no podré entregar la tarea, cuando se que afectarte a demás personas por mis acciones. "
5/9/2024 18:31:44,BQK35SUL,Cuando estoy planeando algo
5/9/2024 18:46:39,3G5WW5TD,"En las noches,  cuando reflexionó sobre mi futuro "
5/9/2024 19:30:55,4L83S1WU,"Al presentar exámenes, al cuidar de un familiar con estado de salud delicado"
5/9/2024 22:04:15,1OGWU084,Cuando hay cosas que no entiendo y no encuentro una pronta respuesta 
5/10/2024 13:59:01,IPYENR3M,"Cuando no puedo resolver un objetivo que tengo en el día, cuando no me salen las cosas en el tiempo que estimo."
5/10/2024 15:00:27,XTINAGL2,"Ir al trabajo, no poder avanzar con alguna tarea, no sentir que estoy haciendo algo productivo."
5/10/2024 15:20:56,PJEM9DJR,me doy cuenta de que no hice nada productivo en el dia
5/10/2024 16:27:26,90SG09DL,Cuando voy en el transporte publico o algunas veces en la escuela
5/10/2024 19:40:06,ZO6GKY6S,Al ver noticias y hacer proyectos
5/10/2024 22:31:28,S45KT7YO,Durante la noche
5/12/2024 0:48:52,T6C4YU2L,Por parte de la escuela y por parte del trabajo
5/12/2024 20:18:00,9TQIQ8J0,Cuando las cosas no salen como se planean
5/12/2024 20:47:26,QOKLYQJZ,Cuando tengo entregas de proyectos y no he terminado o no mis compañeros de equipo no muestran interes 
5/13/2024 9:54:13,AR2SHENR,Todo el tiempo 
5/13/2024 18:24:51,MXD2BDEN,Cuando no logro hacer lo que tengo que hacer o me sale mal
5/13/2024 20:32:28,I9HEYDJ0,Proyectos finales
5/13/2024 20:43:31,C2VL95E5,"Cuando tengo clases, algún examen, tengo algún pendiente."
5/13/2024 20:44:20,YOP5JWEP,POR LA ENFERMEDAD DE MIS FAMILIARES
5/13/2024 20:46:18,YG3TTUE9,En situaciones donde debo tomar decisiones por mas insignificantes o simples que sean
5/13/2024 22:36:11,ZOYW0DWU,Cuando faltan cosas por hacer y ya es tarde
5/14/2024 10:02:00,V5J3IP8N,En las calificaciones 
5/15/2024 20:14:17,E4EGEZ1X,Cuando tengo realizar la entrega de algún trabajo importante y resultan surgir complicaciones o sucesos inesperados al momento de la entrega en la escuela.
5/15/2024 20:43:29,DJWQSCW2,Cuando surgen problemas de la universidad o del trabajo.
5/15/2024 21:34:45,3KRGQIMS,Cuando no va bien lo que realizo o tengo problemas en hacerlo.
5/15/2024 22:02:58,0K4CZRKQ,Cuando siento que algo se me olvidó hacer en mi casa o cuando no entendí un tema 
5/15/2024 23:23:27,5GRMSXOF,Por lo regular en las noches 
5/16/2024 0:26:26,TDU8A4SC,En las mañanas 
5/16/2024 0:29:08,QN6SP8W7,Cuando no llego a realizar actividades que se que traerán consecuencias 
5/16/2024 0:35:07,CHNLHC6X,Cuando no sé dónde está mi familia. 
5/16/2024 0:55:45,IX724P8G,"Las preocupaciones de mi día a día seria de que qué me voy a hacer de comer, las tareas que me asignaron o exámenes que tendré, al igual de que si vaya o no aprobar alguna materia"
5/16/2024 1:13:18,B05YDAZ0,"Cuando revisan tareas, cuando no sé si habrá clase."
5/16/2024 1:41:10,AJKRH064,En el horario escolar (7-15 horas) y cuando estoy haciendo tarea
5/16/2024 1:44:31,1RHBUABD,Al pensar en el futuro 
5/16/2024 1:45:41,86IH30I7,Últimamente todos los días porque tengo que presentar un examen de admisión en 3 semanas.
5/16/2024 7:20:37,7SV40TFC,"Comúnmente en las noches cuando me pongo a pensar cosas que van a pasar, o incluso cosas que no estoy seguro que pasen "
5/16/2024 8:27:32,G2H8Q8RA,En mi desarrollo como estudiante universitario 
5/16/2024 8:38:22,JC7G5EHG,Cuando me faltan pendientes por hacer y se acerca la fecha 
5/16/2024 8:46:06,91VK19HH,Cuando hace falta el dinero
5/16/2024 9:12:26,KCXYQUUD,Cuando requiero realizar una tarea que no he realizado o en momentos de examenes
5/16/2024 9:19:48,X7WQGQMT,Cuando tengo que hacer cosas y no logro a completarlas en su momento 
5/16/2024 9:36:26,BLO78S1C,Cuando tengo muchas tareas pendientes
5/16/2024 9:59:21,8MM32FBW,"Cuando tengo examen, cuando van a entregarme calificaciones "
5/16/2024 10:42:34,PYVXS5Y5,En las noches 
5/16/2024 11:30:00,DJRCLO8P,cuando tengo pendientes por resolver o situaciones
5/16/2024 12:00:29,ZJWB22YX,en las tardes
5/16/2024 12:53:47,3EAZ56FK,"Cuando no entiendo varias cosas de la universidad, me preocupa que pasara con eso"
5/16/2024 13:11:17,ZT2GVR76,"Cuando siento que puedo bajar mi rendimiento escolar, mas cuando se que puedo reprobar alguna materia. "
5/16/2024 13:25:14,614O6Y4I,En situaciones de peligro o momentos donde hay presion externa.
5/16/2024 13:45:24,14XGFLGK,"Me preocupa no terminar a tiempo los proyectos de la escuela , en pensar  que voy a hacer al terminar la carrera o si voy a realizar la tesis o graduarme por promedio, y saber que ya debo de decidir para empezar a realizar la tesis. "
5/16/2024 13:54:46,CKOKU9P4,Al no saber que vendra en el futuro o al sentir incertidumbre de que estoy haciendo en mi vida 
5/16/2024 16:56:55,BGD4M2IP,Calificaciones
