Marca Temporal,ID único,9. Describa ¿En qué situaciones de su vida considera que se siente estresado o molesto?
4/24/2024 12:56:33,LQY5OSVH,En situaciones donde el tiempo va en contra o exceso de trabajo
4/24/2024 13:03:03,Y5I54ZU1,Después de un día pesado 
4/24/2024 13:30:30,1Y7ATVYP,Cuando ni me salen las cosas o me quedo sin tiempo  
4/24/2024 13:43:01,U3RWWQRL,Cuando no tengo el control de las cosas o los planes.
4/24/2024 13:48:24,EG8V8IQ1,En la escuela cuando son finales de semestre y en el trabajo cuando sale una cosa fuera de control 
4/24/2024 14:34:04,POQ9TK13,Cuando siento que solo me buscan cuando quieren algo de mi
4/24/2024 15:03:56,VONE103T,Creo que cuando alguien grita demasiado
4/24/2024 15:34:08,893V9WHU,"Cuando las cosas no resultan ser como las había planeado, cuando mi punto de vista no concuerda con las acciones de las otras personas. "
4/24/2024 15:43:23,JPFVNJKI,"Cuando me molestan mientras estoy ocupada, si estoy hablando y no me prestan atencion, o cuando las cosas no me salen bien despues de varios intentos"
4/24/2024 15:48:07,QU685VKV,Cuando no entiendo algo o no me sale como quiero.
4/24/2024 15:54:20,Z6ZGAS4H,"Cuando siento que las cosas que quiero no van como pensé que resultarían. 
También cuando hay problemas en los cuales no puedo hacer nada, ya sean míos, de amigos cercanos o familiares. 
Me genera impotencia"
4/24/2024 16:24:34,I7OEHA3M,"en entregas de proyectos y tareas, debido por el poco tiempo que cuento"
4/24/2024 16:25:34,945RIESS,Hablar con la gente.
4/24/2024 16:42:06,OY89I1AT,Cuando me peleó con mi mamá 
4/24/2024 17:26:44,MHA8ZTS5,Cuando hay muchas personas y/o ruido 
4/24/2024 18:05:56,RA4Y9X5E,Aveces cuando no cumplo mi objetivo del dia que me puse me siento estredado 
4/24/2024 18:20:17,LXDB8W6X,Cuando salen cosas inesperadas
4/24/2024 18:20:36,G6ZRICXV,Cuando veo que hay personas que por no hacer nada les va mejor. Estresado creo que por las cosas de la escuela y los eventos que suceden en casa.
4/24/2024 18:27:11,S1Z2D8M2,"Algunos docentes en la universidad,  sociamente soy timido y me estresa la gente "
4/24/2024 19:06:32,RC5G5VFK,Estudiantil 
4/24/2024 19:07:31,947J0Q5A,Al tener que tratar forzosamente con personas que me desagradan
4/24/2024 19:40:22,W9LAW009,"En casi todo momento pero más en las siguientes situaciones: cuando me siento abrumado por ruidos (cohetes, ladridos de perros, tráfico); cuando estoy en el sol; cuando estoy en una multitud."
4/24/2024 19:48:20,2QH0OQRP,Cuando algo no me sale como quiero. 
4/24/2024 19:53:13,9FBVNJ3U,Podría ser donde tengo bastante carga de trabajo y no puedo organizar mi tiempo correctamente 
4/24/2024 20:57:53,IRIJAUXK,"1.Cuando tengo muchas tareas y trabajos de la escuela. 
2. Cuando estoy presionado por otros a hacer bien las cosas 
3. Cuando hago cosas que no quiero hacer"
4/24/2024 21:00:13,H7ZSLKYX,cuando no cumplen lo que dicen.
4/24/2024 22:49:25,ZNQELPB7,"Cuando las cosas no me salen como quería, o simplemente pasan cosas que me afectan en menor o mayor medida, pero como dije anteriormente al final busco desestresarme."
4/24/2024 23:23:27,J9Q8IXFH,cuando no puedo resolver algo de la escuela o de mi trabajo
4/24/2024 23:33:27,2ON6FVSH,Cuando no salen las cosas como quisiera
4/25/2024 9:36:25,ES771SD8,"Cuando las demás personas hacen una situación más difícil de lo que en realidad en es, solo quieren y buscan su propio beneficio y no resolver el problema"
4/25/2024 10:52:29,FZRWA0SY,"Por lo regular no suelo ser una persona que me moleste , siempre mantengo la calma , en cambio con la frustacion , si me ha llegado a pasar , mas que nada al tardarme mas tiempo en cumplir mis objetivos "
4/25/2024 11:40:29,1KWDDNOH,"Cuando la gente no me toma en cuenta, cuando otros se creen superiores"
4/25/2024 11:42:43,5CHTZV8O,"Me siento estresado cuando mis pendientes se empiezan a cumular, aunque no necesariamente sea porque procrastino, sino más bien que pienso mucho en que al estar haciendo un pendiente, después hay otro y otro. etc. Las situaciones en las que me siento molesto son cuando hago algo que no estoy cómodo haciendo, o que no quería hacer en primer lugar, pero las circunstancias me obligan a hacerlo."
4/25/2024 12:15:55,RQF9W09V,Estando en mi casa conviviendo con mi mama
4/25/2024 12:16:44,Q7YR6JAL,En la universidad y momentos de vida adulta.
4/25/2024 12:21:21,YMU2FALS,Cuando situaciones internas o externas no terminan como yo deseaba.
4/25/2024 12:28:34,BUUJHLBW,Cuando no estoy cumpliendo con los tiempos de mis cronogramas en el calendario 
4/25/2024 12:54:19,6OG08UL5,Cuando se juntan muchas cosas por hacer y la gente no toma en cuenta que también necesito de descansos o espacios libres
4/25/2024 12:55:12,UYE2QAWR,Molesto
4/25/2024 13:02:31,0YIJFHVF,En el trabajo
4/25/2024 13:31:22,0WK1Q15C,cuando las cosas no salen segun lo planeado 
4/25/2024 14:51:28,89R7BFY3,Cuando tengo que hacer varias actividades 
4/25/2024 18:06:23,W8897XTA,Cuando tengo que realizar muchas actividades  y siento que son muchas o son difíciles y solo tengo poco tiempo para realizarlas
4/25/2024 18:26:25,MOXPM084,Cuando no me salen las cosas y falta poco tiempo para entregarlas
4/25/2024 18:32:43,DXF0Z2FN,"Por lo regular me estreso cuando siento que no aprendo más de lo que ya sé o algo no me aporta nada novedoso, también cuando siento que no avanzo en proyectos o de manera personal, es frustrante pero suelo mantener la calma y pensar en que si cambio yo cambia mi entorno."
4/25/2024 18:42:00,NDMKZW1M,"Cuando estoy en el trabajo cansado, cuando me llevan la contraria, enojada"
4/25/2024 19:18:17,A8QN8I2L,Problemas en los que no logro controlar las cosas que ocurren 
4/25/2024 19:33:43,UBSR9VC8,"En el trabajo, cuando tengo mucha tarea l olvido hacerla y deudas"
4/25/2024 19:38:25,W8ILZE4K,Algunas actitudes/acciones de las personas pueden llegar a molestarme y me suelo estresar al intentar realizar demasiadas cosas sin ir concluyendolas o en situaciones que me causen incomodidad.
4/25/2024 19:49:50,ONSV8AYQ,cuando no puedo resolver problemas y cuando pienso en las cosas que puede haber hecho mejor 
4/25/2024 20:20:12,OY7Q1STH,Trabajo y escuela 
4/25/2024 21:18:09,A9SQ6NWO,"Cuando no comprendo algo, cuando me excluyen"
4/25/2024 21:55:05,1C8YLNRI,Al ser minimizado 
4/25/2024 22:01:24,U8GAYRZ7,Cuando realizo grandes pagos y veo que me faltan las facturas y me sobra todo un mes por delante. Cuando una persona sobrepasa mis limites.
4/26/2024 6:49:03,F65E8SEA,"Honestamente me siento molesta en diversas situaciones pero he notado que es más frecuente cuando no me gusta la actitud de una persona, por otro lado siento estrés mayormente cuando siento que no puedo resolver algo, pero últimamente he sido capaz de pedir ayuda si algo es realmente complicado para mí "
4/26/2024 10:01:08,16UOLNVY,"Cunado no logro hacer tarea o cuando algo me sale mal, ya sea cocinando o arreglando algo."
4/26/2024 10:39:25,D1S2USQV,Cuando me siento presionado por hacer algo
4/26/2024 11:14:18,83ECQ6P2,"Cuando las personas cercanas a mí no muestran sinceridad, recuerdo preguntar una cosa escuchar una respuesta en un futuro volver a preguntar y escuchar otra respuesta diferente eso me molesta y me estreso por los innumerables pensamientos que me abruman de no lograr las cosas, de no poder llevar una relación."
4/26/2024 11:50:56,LS7WFV2B,Cuando no puedo resolver algo a tiempo o se me compara con alguien o algo.
4/26/2024 12:56:50,OAZ5FC8A,Cuando me pasa algo trágico por culpa mía o en algunos casos por culpa de otras personas 
4/26/2024 13:17:38,DCV5DO3V,Cuando no entiendo algo
4/26/2024 13:22:06,STTZ7KC4,"Cuando no me salen las cosas como esperaba después de trabajar duro, o cuando se acumulan pendientes tanto personales como escolares "
4/26/2024 13:24:46,BNMM9UFQ,"Cuando tengo una gran carga de trabajo, especialmente en equipo, y considero que no hay un aporte equitativo. "
4/26/2024 13:25:21,TA1NU1V7,"Cuando no me salen las cosas
"
4/26/2024 13:25:59,UGTBZ7P3,Casi todo el día 
4/26/2024 13:40:10,SOQQDFEW,Cuando no salen las cosas por más que intentes de una o otra forma reparar 
4/26/2024 13:49:23,0A63PM6K,"Cuando las cosas no están bajo mi control, o sea, dependen de terceros. 
Por lo general no me enojo y no exploto de ira. "
4/26/2024 13:50:36,X0GVR7CK,"Comunicación inefectiva, actos irracionales "
4/26/2024 13:54:03,19NLQDKA,"La verdad tengo mucha paciencia, es muy difícil hacerme enojar pero cuando me insisten muy seguido o me repiten mucho algo me enojo "
4/26/2024 13:57:41,2E2IMZRO,Cuando tengo hambre o cuando estoy muy consentrado y me distraen
4/26/2024 14:10:39,21X2D6PW,Cuando no tengo dinero 
4/26/2024 14:18:29,GP42KD2C,Cuando no me salen las cosas.
4/26/2024 14:32:36,27WD6UH2,"En la escuela, hay trabajos o proyectos que son muy tediosos o difíciles de hacer, que quitan mucho tiempo y solo te estresan/frustran"
4/26/2024 14:33:09,4TF29YIO,"Cuando paso alguna situación de riesgo, malentendidos o cuando tengo problemas con alguna otra persona "
4/26/2024 14:35:23,UZNBAHRB,"Cuando algo no me sale bien o tengo algo atrasado, o la vida no fluye como debe "
4/26/2024 14:50:06,87RRAHBJ,"Estresado, cuando rompí la tele
Molesto, cuando "
4/26/2024 15:01:39,EYYTA3LD,Al interactuar con las personas
4/26/2024 15:35:25,W49IM590,En semana de evaluación 
4/26/2024 16:54:59,7HKJBSVI,Cada vez que debo realizar un trabajo escolar
4/26/2024 16:57:51,41U4SDTP,Cuando tengo mucha tarea
4/26/2024 17:05:18,25DC2F4Q,Con la falta de comunicación y comprensión por parte de mi familia 
4/26/2024 17:07:40,PPI1SV0E,Cuando a veces no me cumplo a mí mismo y fallo al imponerme una disciplina
4/26/2024 18:22:59,KQGSATHF,Cuando se me juntan labores o veo que va a pasar algo inminente que me va a afectar
4/26/2024 20:27:53,3ZF411GH,"En momentos donde soy ignorado, o cuando no logro comprender algo de la escuela "
4/28/2024 12:04:28,5CYE0BRU,Cuándo sucede algo inesperado que me hace fallar en algo o perder el tiempo 
4/28/2024 17:44:49,43K4VHCP,Cuando las cosas no me salen
4/28/2024 22:35:59,FA8HZ0ZJ,Al detectar injusticias
4/29/2024 9:09:29,KFH9XJ94,Cuando no duermo bien
4/29/2024 13:24:37,7I9KZQ70,"Cuando sucede algo que no me parece, que me retrasa o me afecta en el mal sentido personalmente"
4/29/2024 13:26:44,TBIDV696,Cuando no puedo tomar el control de las cosas. 
4/29/2024 13:30:35,BR14PE8E,"Entrega de proyectos finales, busqueda de trabajo"
4/29/2024 13:31:46,PRUNGY5A,"Cuando las cosas no salen como quisiera, cuando me atraso en ciertos trabajos y actividades y tiendo a trabajar bajo presión."
4/29/2024 13:39:07,WHUIDLRU,"Estresado cuando no me salen bien las cosas ,aunque esto suene muy general"
4/29/2024 13:40:04,442SR3BQ,Cuando no suelk expresar de manera correcta lo que siento o pienso.
4/29/2024 13:53:27,R5NND2PJ,"Cuando tengo una deuda, cuando no me salen las cosas y cuando la gente se porta mal conmigo"
4/29/2024 14:03:24,S62P3R06,"Me siento estresada si debo realizar algo en equipo y veo que nadie tiene la decisión de realizar lo, me siento molesta si dicen cosas falsas acerca de mi persona o alguien que conozco y se que no lo merece. "
4/29/2024 14:05:35,VBGGGTXX,En situaciones que no puedo controlar
4/29/2024 14:21:13,YO9QP9GQ,principalmente en la escuela
4/29/2024 14:21:52,TIRMAXIL,"Cuando por más que trato de hacer algo, no me sale."
4/29/2024 14:36:58,X939VKYG,Cuando no comparto la misma idea y los demás a fuerza quieren que sea como ellos dicen 
4/29/2024 14:50:49,EE1OP684,"Cuando las cosas no salen bien, con respecto a lo planeado"
4/29/2024 15:07:54,G1NFK78R,cuando no tengo tiempo suficiente 
4/29/2024 16:31:34,TW29QEAI,Cuando me siento saturado de trabajo y demasiado cansado para seguir haciendolo 
4/29/2024 18:47:56,EC28OB0I,Cuando hay muchos proyectos en la escuela 
4/29/2024 23:14:46,YWDANKQ3,Semana de exámenes o cuando no me sale nada 
4/30/2024 0:22:30,41GHNML3,Cuando tengo que hablar 
4/30/2024 0:30:58,ZYO6EKLW,Cuando no me salen las cosas como quiero o como lo planee
4/30/2024 8:38:45,WLSM1SUM,Casi todo el tiempo 
4/30/2024 10:44:29,7RSZOAWX,"Cuando no me salen bien las cosas, cuando ando a las carreras, cuando mi mejor amigo hace comentarios sobre cosas que saben que me molestan, cuando mis papás pelean y no me puedo meter, cuando mi hermano se comporta mamon"
4/30/2024 11:00:56,NOQASZVA,Cuando paso por un duelo y cuando discuto con alguien 
4/30/2024 13:35:25,N9JIRQ1R,"Al despertar tarde, al olvidar algo importante, al pensar en deudas, al compararme con alguien más "
4/30/2024 14:30:58,RVJ6EPRG,Cuando no me gusta algo o algo que me irritó mucho 
4/30/2024 18:16:40,2WMZZ63C,Cuando pienso en mi futuro y cuando tengo mucha tarea 
4/30/2024 18:38:14,53710675,"Manejar, Explicar temas, Programar"
4/30/2024 21:04:57,7CTEOZ0B,Cuando las cosas no salen lo planeado.
5/1/2024 8:23:10,RJYNX3WD,Cuando voy a trabajar 
5/1/2024 16:59:46,IRUH1G2Z,Cuando no me salen las cosas como yo quiero 
5/1/2024 20:39:05,IYJTK4UN,"Cuando ya no tengo tiempo para hacer algo importante y necesario.
Cuando no tengo respuesta o soluciones para algunos problemas.
Cuando las personas no aceptan otro punto de vista."
5/1/2024 21:34:58,J7YGJPIE,"Cuando no encuentro soluciones a problemas complejos, que tienen solucion pero no puedo ejercer solucion"
5/1/2024 23:34:11,XA5DPHB3,Cuando tengo muchas cosas que hacer y no se por donde empezar 
5/2/2024 1:19:32,6QCKW4ZX,"Tareas de la escuela o cuando tengo mucho trabajo, que no salga bien algo que planeo 
Quedar mal con la gente "
5/2/2024 18:33:09,BHZT40UO,Cuando son situaciones que están bajo mi control.
5/2/2024 23:42:40,Q8HPCRF0,Cuando algunas personas intento explicarles lo que deben hacer y no lo hacen y fallan en las instrucciones dadas. 
5/3/2024 9:27:43,9OCOYQ5S,Cuando planeo algo y no sale como lo espero y además hay demasiadas vueltas para completar eso
5/3/2024 16:49:43,,"Cuando llego tarde, cuando me siento insegura de mis capacidades y por ende incapaz de no lograr ciertas cosas."
5/3/2024 16:49:47,UBXXESOE,"Cuando no puedo resolver algo, cuando la gente es grosera conmigo. Cuando tengo poco tiempo para realizar una actividad. Cuando tengo algo importante que realizar y no sé si lo estoy haciendo bien."
5/7/2024 16:14:01,DLCOTDB3,"Cuando no me sale las cosas que planifico, tambien si tengo mucho trabajo que se me acomula, y mas cuando me detengo en una sola tarea que no me sale y me lleva demasiado tiempo."
5/7/2024 17:52:41,73E51Z9Y,"El ruido me molesta demasiado, así como también los gritos, la Irresponsabilidad, la impuntualidad, el desinterés, etc. "
5/8/2024 0:16:33,NZNKVJN5,Cuando las cosas no salen como lo planeo y cuando no tengo el control de las cosas
5/9/2024 13:11:23,K34YLW69,En la escuela y trabajo
5/9/2024 13:19:18,9NUZ5PKN,Planear las cosas y alguien más las estrope o cundo surgen situaciones inesperadamente 
5/9/2024 13:20:19,QXWPZ23V,Cuando las cosas no salen como me imagino o no logro hacer lo que quería 
5/9/2024 13:26:41,97RWBCRJ,"Cuando no me salen las cosas como yo quiero, soy muy impaciente "
5/9/2024 13:37:30,G63ZMG4B,"cuando no puedo realizar una tarea rapido, cuando una persona hace bromas en momentos inoportunos o cuando tengo muchos pendieentes"
5/9/2024 13:48:45,GL74ZXRL,cuando suceden cosas inesperadas o negativas en mi vida
5/9/2024 14:22:33,VXWOTMTO,Cuando me siento incompetente o alguna falta de respeto hacia sus habilidades
5/9/2024 14:27:31,7QQDXHQ7,"En la escuela mayormente como he dicho con anterioridad. Siempre me preocupo por entregar las cosas a tiempo y de entregarlo lo mejor que pueda. Aunque también me estreso cuando veo fútbol y cuando mis equipos juegan partidos importantes, sí me pongo bastante nervioso."
5/9/2024 14:34:45,WW1GHWY1,Cuando las cosas no sales como deben de salir 
5/9/2024 14:35:17,4F5JZDBC,Con la alta temperatura del clima 
5/9/2024 16:15:48,9OS9PHYF,Cuando se me olvidan cosas que tengo que hacer 
5/9/2024 17:35:34,16RK386Y,Cuando las cosas no salen bien o cuando las personas traicionan. 
5/9/2024 18:29:23,1RKPWNBF,"Cuando no me toman en cuenta. Me ignoran, me usan y cuando me callan. "
5/9/2024 18:31:44,BQK35SUL,Cuando estoy en el trabajo y pienso en las tareas que tengo que llegar a hacer.
5/9/2024 18:46:39,3G5WW5TD,"Cuando peleo con mis hermanos, cuando no me salen las prácticas de la universidad"
5/9/2024 19:30:55,4L83S1WU,"Injusticias, situaciones de hipocresía, faltas de respeto y/o atención"
5/9/2024 22:04:15,1OGWU084,"Me siento estresado cuando hay mucha carga de trabajo por hacer, me molesto cuando toda la responsabilidad cae sobre de mí, aún teniendo un equipo de trabajo que tiene que colaborar "
5/10/2024 13:59:01,IPYENR3M,"Cuando me comparo con los demás, cuando considero que la reacción/conducta de otras personas es imprudente y afecta mi ambiente, cuando tengo que depender de los demás para concretar mis tareas."
