Marca Temporal,ID único,"2. Especifique, ¿en qué situaciones últimamente ha sentido ganas de llorar?"
4/24/2024 11:24:06,8OVFX977,Cuando me hieren sentimentalmente
4/24/2024 11:27:42,PPZXS8CP,Cuando tengo estrés o algo no encaja en mi rutina diaria.
4/24/2024 11:28:12,T38J7JB4,RUPTURA
4/24/2024 11:29:56,TE4FJ4MH,"Cuando tengo problemas con mi familia,cuando peleó con personas que me importan, cuando me siento solo "
4/24/2024 11:30:15,ZELPD30F,En ninguna
4/24/2024 11:31:24,PUV5RTZG,"Al tener problemas con mis hermanos, y en tener algunos problemas económicos y no saber resolverlos"
4/24/2024 11:32:16,33JDURG7,Cuando estoy realizando una tarea escolar y me frustro por no poder completarla satisfactoriamente. 
4/24/2024 11:32:59,EAM2O87V,"Cuando me agobia la escuela, pensar en el futuro."
4/24/2024 11:33:22,H22AN93K,Estando en el servicio
4/24/2024 11:35:28,IRB84959,"Cuando tengo demasiadas cosas por hacer, me siento agobiada, cuando no entiendo algo "
4/24/2024 11:39:35,XOF6KQ1G,Cuando no entiendo cosas de la carrera
4/24/2024 11:40:06,1GC9M0FT,Cuando llueve
4/24/2024 11:41:02,DZ9DN7BK,Cuando hay muchos problemas 
4/24/2024 11:41:30,ZF56737V,hace un mes que terminé con mi novia
4/24/2024 11:53:22,HGX6HZA2,Cuando un familiar muy cercano falleció
4/24/2024 11:57:08,S2ATVULP,cuando recuerdo mis años anteriores
4/24/2024 11:58:50,GFSFOGBV,Cuando me frustro por que las cosas no me salen
4/24/2024 12:03:52,DPW9GBQ3,"Cuando siento que mi mundo se derrumba, cuando a pesar de todo lo que hago e intento hacer de la mejor manera nada sale como quiero o espero, ahí mi frustración es tanta que surgen las ganas de llorar."
4/24/2024 12:10:15,2YB4F1WO,Cuando veo algún momento triste
4/24/2024 12:11:29,LOKQGFF4,"Cuando al momento de realizar algo no logro realizarlo de manera correcta y falla o no veo ningún avance y se necesita entregar pronto, al igual cuando me siento un poco solo o pienso que no soy suficiente para alguien."
4/24/2024 12:19:11,LI6RUZZW,"Generalmente cuando me analizo a mi mismo, me comparo con los demás, ni me siento suficiente, tal vez sobre pienso mucho"
4/24/2024 12:20:06,VHUGEE7Y,"Cada momento, más cundo veo peliculas sentimentales "
4/24/2024 12:24:41,U5RVW5N7,Ninguna
4/24/2024 12:25:11,NG3F2CJ4,Cuando me siento muy estresada por la escuela y que los proyectos me sobre pasan 
4/24/2024 12:26:00,ETSMGZBD,Cuando no me salen mis prácticas 
4/24/2024 12:33:39,AY3IGV3Q,"Soy una persona bastante fría, me lo mencionan y es que no suelo tener sentimientos tristes para llorar, de pequeño siempre se me decía que no debía llorar o el clásico de que me iban a dar razones de a deveras para llorar, entonces suelo retener emociones en ese aspecto.
Esta semana profesores que faltan, no explican y aun así dejan mil tareas y avances, el hecho de que se me junto todo y no supe por dónde empezar me causo cierta frustración con ganas de llorar.
igualmente hace no mucho falleció Akira Toriyama, y aunque no lo conocí en persona, fue parte importante de mi infancia y de la persona que soy ahora, es por eso que fue una gran pérdida que desanimo bastante durante algunos días."
4/24/2024 12:38:17,EUW2F405,"Cuando estoy atascado, pero luego se me viene a la mente todo lo que he pasado (logros, tropiezos, experiencias) y simplemente sigo adelante."
4/24/2024 12:53:16,ZLQAYMFG,Cuando no comprendo ciertas cuestiones escolares y en situaciones que me recuerdan acciones y situaciones de mi pasado como niño y como joven adulto.
4/24/2024 12:56:33,LQY5OSVH,Problemas personales   
4/24/2024 13:03:03,Y5I54ZU1,Por estrés de la escuela 
4/24/2024 13:30:30,1Y7ATVYP,Reprobar materias 
4/24/2024 13:43:01,U3RWWQRL,"Me considero una persona muy sentimental, así que lloro cuando estoy alegre, triste o enojada. "
4/24/2024 13:48:24,EG8V8IQ1,"Cuando no me sale las cosas, cuando me siento presionado ya sea por cualquiera situación que me perjudique en ese momento"
4/24/2024 14:34:04,POQ9TK13,Cuando mis problemas son conocidos por familiares 
4/24/2024 15:03:56,VONE103T,Últimamente al pensar en mi futuro 
4/24/2024 15:34:08,893V9WHU,"Cuando tengo pensamientos negativos sobre que no puedo, que soy poca cosa, que no estoy logrando nada. Al compararme con mis compañeros egresados que ya han logrado “más cosas” que yo. Y con las aptitudes y poco apoyo por parte de mi papá. "
4/24/2024 15:43:23,JPFVNJKI,"Cuando me estreso, cuando extraño a mi familia"
4/24/2024 15:48:07,QU685VKV,Cuando recuerdo a mi familia.
4/24/2024 15:54:20,Z6ZGAS4H,"Cuando siento que ya no puedo con todo lo que tengo, y eso conlleva a solo pensar en cosas que me han salido mal, así como recordar a personas del pasado, ya sea de las cuales no me pude despedir en su momento y que aún siento una culpa por su partida. "
4/24/2024 16:24:34,I7OEHA3M,últimamente en ninguna
4/24/2024 16:25:34,945RIESS,"Con la presión de la escuela, por las tareas, proyecto, practicas y todos los pendientes de la visa que se acumulan. "
4/24/2024 16:42:06,OY89I1AT,"Cuando se me acumulan tareas, proyectos, situaciones familiares. "
4/24/2024 17:26:44,MHA8ZTS5,Cuando me frustró por no poder realizar algo
4/24/2024 18:05:56,RA4Y9X5E,Pues ultimamente no me eh sentido con ganas de llorar pero si hay que llorar por algun motivo pues lo hago
4/24/2024 18:20:17,LXDB8W6X,Cuando me frustro 
4/24/2024 18:20:36,G6ZRICXV,Cuando recuerdo a mis familiares que ya no estan. Cuando me frustro en que algo no me sale en la escuela y cuando siento que no puedo dar algun rendimiento esperado.
4/24/2024 18:27:11,S1Z2D8M2,Algunas cosas no salen bien y no soy muy bueno lidiando con eso
4/24/2024 19:06:32,RC5G5VFK,Problemas familiares o angustia por no llegar poder pasar mis materias
4/24/2024 19:07:31,947J0Q5A,Cuando paso demasiado tiempo solo
4/24/2024 19:40:22,W9LAW009,"Cuando me siento abrumado por ruidos (cohetes, ladridos de perros, tráfico), cuando pienso en lo corrupto e injusto que es México, cuando pienso que no estoy en mi país de origen, cuando pienso que la mayoría de la gente es desconsiderada, cuando pienso en la contaminación que los humanos provocan y puedo ver sus efectos; la muerte de mi gata"
4/24/2024 19:48:20,2QH0OQRP,"Cuando siento frustración o soledad, o cuando cosas del pasado se hacen muy presentes."
4/24/2024 19:53:13,9FBVNJ3U,Cuando siento demasiado estrés 
4/24/2024 20:57:53,IRIJAUXK,Cuando siento impotencia por no poder hacer nada respecto a situaciónes que no están a mi alcance.
4/24/2024 21:00:13,H7ZSLKYX,Cuando veo la injusticia 
4/24/2024 22:49:25,ZNQELPB7,Últimamente no he sentido esas sensaciones.
4/24/2024 23:23:27,J9Q8IXFH,cuando me dejaron hacer muchos proyectos finales en la escuela con temas que no conozco
4/24/2024 23:33:27,2ON6FVSH,Pensando en mi ansiedad
4/25/2024 9:36:25,ES771SD8,"Cuando he recibido decepciones, especialmente cuando pude hacer algo al respecto y las cosas pudieron haber ido de mejor manera"
4/25/2024 10:52:29,FZRWA0SY,"Cuando me frusto en alguna actividad, o tengo muchos pendientes encima como tareas , actividadees de hogar , entre otros problemas "
4/25/2024 11:40:29,1KWDDNOH,"Al sentirme solo, incomprendido, y sin motivaciones "
4/25/2024 11:42:43,5CHTZV8O,Al ver algunas escenas de películas
4/25/2024 12:15:55,RQF9W09V,"Ante injusticia, situaciones donde no me puedo defender o no me dejan expresar mis sentimientos "
4/25/2024 12:16:44,Q7YR6JAL,"En los momentos de frustración, lo cual constantemente pasa.
Momentos de recuerdo del pasado de la vida.
Momentos de sobre pensar demás (de mis mayores momentos)."
4/25/2024 12:21:21,YMU2FALS,Cuando siento frustración 
4/25/2024 12:28:34,BUUJHLBW,Cuando vi algo que no debía ver ni saber o cuando las cosas no salen según lo previsto 
4/25/2024 12:54:19,6OG08UL5,Cuando me estresó o la gente no entiende que necesito tiempo a solas
4/25/2024 12:55:12,UYE2QAWR,Mi familia se pelear
4/25/2024 13:02:31,0YIJFHVF,Cuando estoy solo
4/25/2024 13:31:22,0WK1Q15C,Cuando me siento mal emocionalmente o me estreso por la universidad
4/25/2024 14:51:28,89R7BFY3,Cuando no encuentro la solución para un problema personal 
4/25/2024 18:06:23,W8897XTA,Cuando no me va bien en la escuela
4/25/2024 18:26:25,MOXPM084,"Cuando pierdo en mis partidos de fútbol y cuando recuerdo situaciones del año pasado
"
4/25/2024 18:32:43,DXF0Z2FN,En general me cuesta expresar emociones como la tristeza 
4/25/2024 18:42:00,NDMKZW1M,Cuando siento mucho estrés 
4/25/2024 19:18:17,A8QN8I2L,Cuando hago una introspección en mi 
4/25/2024 19:33:43,UBSR9VC8,Después de que algo no sale cómo quiero
4/25/2024 19:38:25,W8ILZE4K,Momentos de nostalgia.
4/25/2024 19:49:50,ONSV8AYQ,Cuando cae la noche y me pongo a reflexionar 
4/25/2024 20:20:12,OY7Q1STH,En la escuela y el trabajo 
4/25/2024 21:18:09,A9SQ6NWO,"Al estar bajo mucho estrés, recordar momentos "
4/25/2024 21:55:05,1C8YLNRI,Al perder a mi ser querido
4/25/2024 22:01:24,U8GAYRZ7,"Recordar que mis padres fallecieron, cuando me siento que estoy estancada y no he hecho nada, cuando me siento presionada porque la abogada de mi juicio me pide dinero, cuando de repente empiezo a sobrepensar"
4/26/2024 6:49:03,F65E8SEA,"Cuando pienso en situaciones que he pasado con mi familia últimamente, cuando me pongo a sobrepensar las cosas y cuando me preguntan si me pasa algo "
4/26/2024 10:01:08,16UOLNVY,La pensar que no estoy disfrutando mi vida universitaria y cuando recuerdo que soy foráneo.
4/26/2024 10:39:25,D1S2USQV,Cuando no entiendo algo o sucede algo fuera de mi control 
4/26/2024 11:14:18,83ECQ6P2,"cuando me frustro, cuando sobre pienso las cituaciones que me rodean."
4/26/2024 11:50:56,LS7WFV2B,No he tenido esa emoción últimamente
4/26/2024 12:56:50,OAZ5FC8A,En pensar en cosas del futuro 
4/26/2024 13:17:38,DCV5DO3V,"Cuando repruebo, cuando debo exponer"
4/26/2024 13:22:06,STTZ7KC4,Cuando hay muchos pendientes y siento que no me va a dar tiempo o cuando no entiendo algo que no es tan complicado 
4/26/2024 13:24:46,BNMM9UFQ,"Después de largos periodos de estrés académicos, o al hablar menos con amigos"
4/26/2024 13:25:21,TA1NU1V7,Al terminar la uni no hay trabajo 
4/26/2024 13:25:59,UGTBZ7P3,Académicamente 
4/26/2024 13:40:10,SOQQDFEW,Cuando me enteré que mi hermana le detectaron cancer
4/26/2024 13:49:23,0A63PM6K,"Cuando no entiendo a los proyectos de la uni, me agobio mucho por no entender varias cosas, siento que soy un tonto. "
4/26/2024 13:50:36,X0GVR7CK,Ante exposiciones de violencia (ajena a mi vida)
4/26/2024 13:54:03,19NLQDKA,"Yo tiendo mucho a procrastinar, entonces al final de la semana tengo muchas cosas que hacer y eso me estresa  hasta puedo llegar a llorar, el hecho de pensar que no lo voy a lograr me pone mal"
4/26/2024 13:57:41,2E2IMZRO,Cuando fallecio algun familiar o recordamos que fallecio
4/26/2024 14:10:39,21X2D6PW,Cuando no me esfuerzo para los exámenes 
4/26/2024 14:18:29,GP42KD2C,Cuando me pongo a pensar sobre mi pasado y el punto en el que estoy a dia de hoy
4/26/2024 14:32:36,27WD6UH2,"Cuando estoy haciendo un trabajo, ya es tarde y todavía no puedo terminar"
4/26/2024 14:33:09,4TF29YIO,Últimamente después de un malentendido con mi equipo de trabajo y después de algunas preocupaciones 
4/26/2024 14:35:23,UZNBAHRB,Media ganas 
4/26/2024 14:50:06,87RRAHBJ,"Frustración, no saber que hacer ante algo que me importa mucho"
4/26/2024 15:01:39,EYYTA3LD,Al tratar de hacer actividades que deberían ser fáciles.
4/26/2024 15:35:25,W49IM590,"Recordando cosas que me pasaron hace tiempo.
Cuando me siento sola a pesar de tener a personas cercanas."
4/26/2024 16:54:59,7HKJBSVI,En ninguna
4/26/2024 16:57:51,41U4SDTP,Ninguna
4/26/2024 17:05:18,25DC2F4Q,Cuando recuerdo cosas del pasado 
4/26/2024 17:07:40,PPI1SV0E,Pensando en mi posible deficiencia como profesionista
4/26/2024 18:22:59,KQGSATHF,Cuando siento impotencia de no lograr mis metas
4/26/2024 20:27:53,3ZF411GH,En situaciones de presión o de sentirse insuficiente 
4/28/2024 12:04:28,5CYE0BRU,Cuando me frusto por no poder hacer algo como quería que fuera
4/28/2024 17:44:49,43K4VHCP,Cuando estoy solo en mi cuarto (rentado) y recuerdo a mi familia; cuando me siento incapaz de realizar trabajos de la universidad
4/28/2024 22:35:59,FA8HZ0ZJ,Al recordar el pasado
4/29/2024 9:09:29,KFH9XJ94,Cuando se me juntan las cosas
4/29/2024 13:24:37,7I9KZQ70,Últimamente solamente al ver películas o series tristes.
4/29/2024 13:26:44,TBIDV696,Cuando no obtenga atención
4/29/2024 13:30:35,BR14PE8E,En situaciones cuando me empiezo a sentir solo y sin un rumbo claro
4/29/2024 13:31:46,PRUNGY5A,Cuando las cosas no salen como esperaba 
4/29/2024 13:39:07,WHUIDLRU,"Situaciones en las que recuerdo cosas pasadas ,mascotas ,mi lugar de origen ,familia"
4/29/2024 13:40:04,442SR3BQ,Cuando surge estrés debido a la carga excesiva de tareas 
4/29/2024 13:53:27,R5NND2PJ,En situaciones donde no puedo hacer nada al respecto y siento miedo 
4/29/2024 14:03:24,S62P3R06,"Cuando veo algunas películas, escuchando algunas canciones."
4/29/2024 14:05:35,VBGGGTXX,En situaciones de mucho estrés 
4/29/2024 14:21:13,YO9QP9GQ,Cuando estoy muy presionado
4/29/2024 14:21:52,TIRMAXIL,Lamentablemente por una descripción amorosa 
4/29/2024 14:36:58,X939VKYG,"Cuando siento que no estoy el tiempo suficiente con mi hija por todos los quehaceres de mi hogar, mis tareas, la escuela ,y estar con ella ."
4/29/2024 14:50:49,EE1OP684,"En situaciones de conflicto, cuando las cosas no salen como esperaba"
4/29/2024 15:07:54,G1NFK78R,bajo presión 
4/29/2024 16:31:34,TW29QEAI,Durante jornadas de trabajo muy largas y extenuantes 
4/29/2024 18:47:56,EC28OB0I,Últimamente por estrés 
4/29/2024 23:14:46,YWDANKQ3,Cuando me estreso
4/30/2024 0:22:30,41GHNML3,Pensando en situaciones del pasado 
4/30/2024 0:30:58,ZYO6EKLW,Recordando mi ex relación 
4/30/2024 8:38:45,WLSM1SUM,Cuando recuerdo a seres queridos 
4/30/2024 10:44:29,7RSZOAWX,Cuando me peleo con mi hermano o con mis papas 
4/30/2024 11:00:56,NOQASZVA,Cuando estoy sola y cuando hablé con mi ex
4/30/2024 13:35:25,N9JIRQ1R,Creo que no he tenido ninguna situación que me haga llorar recientemente
4/30/2024 14:30:58,RVJ6EPRG,Cuando no entiendo algo de la carrera 
4/30/2024 18:16:40,2WMZZ63C,El abismo de lo complicado que puede ser salir de mi estatus económico. Que cumplir ese sueño puede ser difícil y fracasar para volverme uno más del sistema.
4/30/2024 18:38:14,53710675,Cuando le pasan cosas malas a mi familia 
4/30/2024 21:04:57,7CTEOZ0B,"No eh tenido ganas de llorar pero, las situaciones que me hacen sentir triste o nostálgico son el recordar momentos y experiencias que no tuvieron un buen desenlace."
5/1/2024 8:23:10,RJYNX3WD,Familiares Internados 
5/1/2024 16:59:46,IRUH1G2Z,Cuando veo futbol y pasa algo malo al equipo que apoyo
5/1/2024 20:39:05,IYJTK4UN,"La ausencia de mi mamá, el problema que atravieso con mi familia nuclear,la sensación de sentirme sola en medio de tantos problemas."
5/1/2024 21:34:58,J7YGJPIE,De momento ninguna
5/1/2024 23:34:11,XA5DPHB3,"Cuando no hago las cosas bien a la primera o no comprendo un tema 
Cuando extraño a mi familia "
5/2/2024 1:19:32,6QCKW4ZX,"No saber si escogí bien mi carrera
Y recordar a mi papá fallecido "
5/2/2024 18:33:09,BHZT40UO,"Últimamente  no he sentido ese sentimiento, pero podría decir que que pongo sentimental cuando me doy cuenta de todo lo que me han dado mis seres queridos, de lo tanto que se han esforzado mis papás y mis hermanos, su apoyo incondicional y su cariño, así que que por eso doy lo mejor de mi para poder recompensarlos.  "
5/2/2024 23:42:40,Q8HPCRF0,"Últimamente no he llorado, la última vez fue dado por desapego de mis familiares a mis problemas."
5/3/2024 9:27:43,9OCOYQ5S,"En situaciones estresantes, últimamente con la sobrecarga de proyectos y actividades finales en diversas materias se siente estrés y por ende una sensación de querer llorar al no saber qué hacer primero o cómo hacer las cosas"
5/3/2024 16:49:43,,"Rupturas y cambios de dinámicas en relaciones, crisis por el futuro incierto después de la universidad "
5/3/2024 16:49:47,UBXXESOE,"Cuando un docente es injusto.
Cuando no sé cómo solucionar un problema académico.
"
5/7/2024 16:14:01,DLCOTDB3,"Dependiendo de la sutuación, mas cuando cometo errores en mi vida, que me llego a frustar."
5/7/2024 17:52:41,73E51Z9Y,Las ocasiones en las que me encuentro en situaciones de estrés. En ocasiones donde debo expresar sentimientos.
5/8/2024 0:16:33,NZNKVJN5,Frustración y preocupación de la vida adulta 
5/9/2024 13:11:23,K34YLW69,Cuando estoy solo
5/9/2024 13:19:18,9NUZ5PKN,Despedidas de personas importantes 
5/9/2024 13:20:19,QXWPZ23V,Cuando pienso en mi futuro 
5/9/2024 13:26:41,97RWBCRJ,"No suelo tener ese sentimiento, pero la mayoría de veces es por frustración "
5/9/2024 13:37:30,G63ZMG4B,En sentimientos de estrés y emociones fuertes.
5/9/2024 13:48:45,GL74ZXRL,cuando recibo malas noticias
5/9/2024 14:22:33,VXWOTMTO,Cuando me descepciono a mi mismo
5/9/2024 14:27:31,7QQDXHQ7,"Cuando las cosas que quiero hacer, no me salen por más que las intento. "
5/9/2024 14:34:45,WW1GHWY1,Cuando las cosas no salen bien 
5/9/2024 14:35:17,4F5JZDBC,Cuando me duele el estómago
5/9/2024 16:15:48,9OS9PHYF, Ver a mi familia envejecer 
5/9/2024 17:35:34,16RK386Y,Problemas familiares 
5/9/2024 18:29:23,1RKPWNBF,Cuando me siento incomprendido y olvido por la gente o mis amigos. 
5/9/2024 18:31:44,BQK35SUL,En problemas famliares
5/9/2024 18:46:39,3G5WW5TD,"Cuando no me salen las cosas, cuando tengo problemas de salud, cuando mi mamá está mal de salud"
5/9/2024 19:30:55,4L83S1WU,"Situaciones frustrantes, estados de soledad"
5/9/2024 22:04:15,1OGWU084,"En momentos de frustración, por algo que no ha salido de acuerdo a lo esperado"
5/10/2024 13:59:01,IPYENR3M,"Cuando siento frustración por no poder realizar tareas específicas, cuando no entiendo temas nuevos y ya he intentado aprenderlos de muchas maneras."
5/10/2024 15:00:27,XTINAGL2,Cuando tengo demasiado estrés o algún problema en mi entorno social y/o familiar que pudo ser causado por mi culpa.   
5/10/2024 15:20:56,PJEM9DJR,cuando no salen los planes como quisiera
5/10/2024 16:27:26,90SG09DL,Caundo no obtengo los resultados que esperaba pero principalmente cuando intencionalmente entro a las redes sociales y realizo esa comparacion entre los demas y conmingo
5/10/2024 19:40:06,ZO6GKY6S,"Al sentirme vulnerable, recuerdos nostálgicos"
5/10/2024 22:31:28,S45KT7YO,En sitaciones donde hay mucho estres
5/12/2024 0:48:52,T6C4YU2L,Cuando me estreso o preocupo por situaciones de alto nivel
5/12/2024 20:18:00,9TQIQ8J0,"Ninguna últimamente, pero si en el pasado recordando familiares"
5/12/2024 20:47:26,QOKLYQJZ,Cuando no logro entender los proyectos de la universidad o cuando no estoy en mi casa 
5/13/2024 9:54:13,AR2SHENR,Por estrés 
5/13/2024 18:24:51,MXD2BDEN,"Cuando me siento solo, que es seguido"
5/13/2024 20:32:28,I9HEYDJ0,Estrés
5/13/2024 20:43:31,C2VL95E5,"Cuando las cosas no salen como yo quiero, por ejemplo, si no he tenido una buena nota en mus clases."
5/13/2024 20:44:20,YOP5JWEP,LA PERDIDA DE FAMILIARES
5/13/2024 20:46:18,YG3TTUE9,Todo el tiempo
5/13/2024 22:36:11,ZOYW0DWU,Cuando no salen las cosas de la mejor manera 
5/14/2024 10:02:00,V5J3IP8N,Cuando hay mucha tarea y hay trabajo 
5/15/2024 20:14:17,E4EGEZ1X,"Tras recibir un gran daño verbal, fisico, etc. De una persona que realmente es importante para mi."
5/15/2024 20:43:29,DJWQSCW2,"En casi ninguna, solamente cuando surgen problemas amorosos."
5/15/2024 21:34:45,3KRGQIMS,"Cuando siento que no progreso en lo que quiero, por problemas ajenos o tragedias."
5/15/2024 22:02:58,0K4CZRKQ,"Cuando me molesto y no puedo decir lo que siento, cuando siento que me está llendo mal en la universidad, cuando no puedo ayudar a los animalitos "
5/15/2024 23:23:27,5GRMSXOF,Cuando recuerdo a mi perro que falleció 
5/16/2024 0:26:26,TDU8A4SC,Cuando me va mal en alguna materia 
5/16/2024 0:29:08,QN6SP8W7,Cuando me siento incompetente ante una situación 
5/16/2024 0:35:07,CHNLHC6X,Cuando sobrepienso sobre cosas que me importan
5/16/2024 0:55:45,IX724P8G,"Extrañar a mi familia, sentir la nostalgia de que estaba en mi casa estando con mi familia"
5/16/2024 1:13:18,B05YDAZ0,"Cuando estoy solo, cuando me dicen algo que me haga sentir mal, recordando cosas del pasado."
5/16/2024 1:41:10,AJKRH064,"Cuando siento que no puedo con la carrera, cuando siento que mi futuro es incierto y no voy a lograr nada, cuando no puedo socializar ni encajar en un grupo, cuando no me salen las cosas como esperaba."
5/16/2024 1:44:31,1RHBUABD,En ninguns
5/16/2024 1:45:41,86IH30I7,Al no sentirme capaz de entender fácilmente el cálculo integral 
5/16/2024 7:20:37,7SV40TFC,"Cuando se presenta un problema que me supera, al ver a un familiar muy enfermo, al sentir el rechazo de los demás y sentirme en soledad "
5/16/2024 8:27:32,G2H8Q8RA,Mientras veo momentos emotivos en las redes sociales 
5/16/2024 8:38:22,JC7G5EHG,Cuando me estreso mucho
5/16/2024 8:46:06,91VK19HH,En la noche cuando siento desesperado por no lograr resultados
5/16/2024 9:12:26,KCXYQUUD,"Viendo distintas series en donde el personaje muere o le ocurren tragedias, cuando recuerdo a personas que realmente me agradaban pero con las que ya no mantengo contacto"
5/16/2024 9:19:48,X7WQGQMT,Cuando siento que no doy lo suficiente de mi 
