Marca Temporal,ID único,"5. Cuando la preocupación se hace presente en su vida, ¿cuáles son las sensaciones corporales que experimenta?"
4/24/2024 11:16:48,QCURT76I,"mi piel pica, pienso demasiadas cosas al mismo tiempo"
4/24/2024 11:24:06,8OVFX977,Una especie de ansiedad 
4/24/2024 11:27:42,PPZXS8CP,Hormigueos y angustia.
4/24/2024 11:28:12,T38J7JB4,"PERDIDA DE APETITO, PROBLEMAS GASTROINTESTINALES, PERDIDA DE PESO"
4/24/2024 11:29:56,TE4FJ4MH,Empiezo a mover ya sea mis manos o mis pies 
4/24/2024 11:30:15,ZELPD30F,Nerviosismo. 
4/24/2024 11:31:24,PUV5RTZG,"Sudor en las manos, movimiento en la pierna, y mi cuerpo entra en calor "
4/24/2024 11:32:16,33JDURG7,"Mucho sudor, algunos temblores, ansiedad, picazón"
4/24/2024 11:32:59,EAM2O87V,Frío en el pecho.
4/24/2024 11:33:22,H22AN93K,"Escalofríos, dolor de cabeza, malestar estomacal"
4/24/2024 11:35:28,IRB84959,"Temblores, malestar estomacal "
4/24/2024 11:39:35,XOF6KQ1G,Me desespero
4/24/2024 11:40:06,1GC9M0FT,Nervios y escalofri
4/24/2024 11:41:02,DZ9DN7BK,Ansiedad y preocupación 
4/24/2024 11:41:30,ZF56737V,"Dolor de pecho y cabeza, debilidad corporal"
4/24/2024 11:53:22,HGX6HZA2,"Nerviosismo, sudoración"
4/24/2024 11:57:08,S2ATVULP,"sensaciones de espasmos, opresion en pecho y sin poder respirar"
4/24/2024 11:58:50,GFSFOGBV,"Cansancio, estrés, mal humor, apetito excesivo "
4/24/2024 12:03:52,DPW9GBQ3,"Creo que sería el dolor de cabeza, el cansancio y la falta de apetito, son los más notables "
4/24/2024 12:10:15,2YB4F1WO,"Temblores, respiración rápida, poca habla "
4/24/2024 12:11:29,LOKQGFF4,"Cuando estoy activo siento nervios, se acelera mi corazón, aumenta mi temperatura corporal, empiezo a temblar muy poco y necesito cansarme un poco para tranquilizarme, al igual cuando me siento cansado suelo pensar un poco mas lento las cosas pero sin otras sensaciones como cuando estoy activo"
4/24/2024 12:19:11,LI6RUZZW,"Como una sensación de escalofríos, siento una especie de presión en mi cabeza, mucho calor, y no puedo estar quieto"
4/24/2024 12:20:06,VHUGEE7Y,"Sueño, fatiga, desconcentración "
4/24/2024 12:24:41,U5RVW5N7,Dolor de cabeza
4/24/2024 12:25:11,NG3F2CJ4,"Tiendo a presentar gastritis, sueño durante el día, dolor de cabeza y síntomas de ansiedad "
4/24/2024 12:26:00,ETSMGZBD,Sudoración en las manos y dolor de cabeza 
4/24/2024 12:33:39,AY3IGV3Q,"Presento un tic en la pierna izquierda, la muevo sin parar, o empiezo a jugar con las manos, a rascarme las palmas, y empiezo chocar uña con uña hasta que eventualmente se cortan."
4/24/2024 12:38:17,EUW2F405,"Estrés, enojo, nervios."
4/24/2024 12:53:16,ZLQAYMFG,"Aveces un vacío en el estómago, y una especie de tic de ansiedad en la pierna que me hace moverla mucho "
4/24/2024 12:56:33,LQY5OSVH,"Ansiedad con aceleración cardíaca, presión en el pecho, exceso de energía "
4/24/2024 13:03:03,Y5I54ZU1,Dolor estomacal 
4/24/2024 13:30:30,1Y7ATVYP,Mucho calor 
4/24/2024 13:43:01,U3RWWQRL,Dolor de cabeza y nauseas.
4/24/2024 13:48:24,EG8V8IQ1,"Me da mucho comezón en el cuerpo, me empiezo como morder un poco las uñas , me salen ojeras , me salen granos en la cara y ando como con el cuerpo cortado "
4/24/2024 14:34:04,POQ9TK13,"Respiración rápida
Escalofríos"
4/24/2024 15:03:56,VONE103T,"Un poco de agitación, se bajan mis ánimos y mis pensamientos se dispersan mucho "
4/24/2024 15:34:08,893V9WHU,"Estrés, mal humor, insomnio."
4/24/2024 15:43:23,JPFVNJKI,"Agruras estomacales, a veces dolor de cabeza o nauseas"
4/24/2024 15:48:07,QU685VKV,Dolos de cabeza y como que me siento extraño.
4/24/2024 15:54:20,Z6ZGAS4H,"Descontrol en partes de mi cuerpo, ya sean brazos, dedos. En pocas palabras, no controlo mis movimientos "
4/24/2024 16:24:34,I7OEHA3M,"mareos, empiezo a sudar y dolor de cabeza "
4/24/2024 16:25:34,945RIESS,"Comezón, ardor, dolor de cuerpo, dolor de cabeza, la vista cansada ..."
4/24/2024 16:42:06,OY89I1AT,"Tristesa, agotada, pensativa"
4/24/2024 17:26:44,MHA8ZTS5,"Comezón en el cuerpo, sentimiento de incomodidad y ansiedad "
4/24/2024 18:05:56,RA4Y9X5E,Aveces como que me hace ponerme un poco nervioso cuando me proucupa algo puedo caminar de un lado a otro.
4/24/2024 18:20:17,LXDB8W6X,Empiezo a temblar 
4/24/2024 18:20:36,G6ZRICXV,Tics en el ojo y me duele el estomago.
4/24/2024 18:27:11,S1Z2D8M2,"Me dule el estomago, aveces tiemblo "
4/24/2024 19:06:32,RC5G5VFK,"Tensión, llorar, presión, dolor de cabeza "
4/24/2024 19:07:31,947J0Q5A,Temblor excesivo en mis brazos y aumento de mi pulso cardíaco 
4/24/2024 19:40:22,W9LAW009,Aumento del ritmo cardíaco; ansiedad
4/24/2024 19:48:20,2QH0OQRP,"Nervios, ganas de vomitar, y temblor en las manos"
4/24/2024 19:53:13,9FBVNJ3U,ansiedad o desesperación
4/24/2024 20:57:53,IRIJAUXK,"Sudoración, respiración pesada, comezón."
4/24/2024 21:00:13,H7ZSLKYX,"dolor de cabeza, falta de sueño"
4/24/2024 22:49:25,ZNQELPB7,No sabría expresarlo.
4/24/2024 23:23:27,J9Q8IXFH,dolor de estomago y escalofríos 
4/24/2024 23:33:27,2ON6FVSH,Se me duerme el cuerpo
4/25/2024 9:36:25,ES771SD8,"Experimento escalofríos, demasiado nerviosismo y dolor de cabeza, siento que me pesan los
hombros"
4/25/2024 10:52:29,FZRWA0SY,"Dolor de cabeza, Dolor de estomago , Cansancio "
4/25/2024 11:40:29,1KWDDNOH,"Cuando me preocupo en extremo, hasta tiemblo un poco, resultado de ocultar todas mis demás emociones y expresiones "
4/25/2024 11:42:43,5CHTZV8O,"Siento un hormigueo, o en casos extremos ganas de vomitar"
4/25/2024 12:15:55,RQF9W09V,"Colitis, gastritis, dolor de cabeza y migraña"
4/25/2024 12:16:44,Q7YR6JAL,"Dolor en el estómago, bajón en mis sentimientos y demás."
4/25/2024 12:21:21,YMU2FALS,Ganas de rascar o apretar 
4/25/2024 12:28:34,BUUJHLBW,"Dolor de estómago, sudor frío, náuseas, alteración de sentidos, enojo, tristeza, falta de aire "
4/25/2024 12:54:19,6OG08UL5,"Sudoración en las manos, consumó excesivo de la comida o morderse las uñas"
4/25/2024 12:55:12,UYE2QAWR,"Ira, dolor y tristeza"
4/25/2024 13:02:31,0YIJFHVF,"Mucho cansancio, tristeza"
4/25/2024 13:31:22,0WK1Q15C,Se me irritan muchos los ojos y me da comezon el cuerpo 
4/25/2024 14:51:28,89R7BFY3,"Mover mucho las manos, que me suden las manos "
4/25/2024 18:06:23,W8897XTA,Dolor de cabeza 
4/25/2024 18:26:25,MOXPM084,Dolor de cabeza y espasmos
4/25/2024 18:32:43,DXF0Z2FN,Cuando se da la ocasión me siento distraído 
4/25/2024 18:42:00,NDMKZW1M,Ansiedad
4/25/2024 19:18:17,A8QN8I2L,hormigueó en cuerpo
4/25/2024 19:33:43,UBSR9VC8,Fatiga o cansancio 
4/25/2024 19:38:25,W8ILZE4K,Las sensaciones que cubre la inquietud como sudor en las manos o ritmo cardiaco elevado.
4/25/2024 19:49:50,ONSV8AYQ,escalofrío y sudor
4/25/2024 20:20:12,OY7Q1STH,Taquicardia ansiedad estrés 
4/25/2024 21:18:09,A9SQ6NWO,"Manos frías, tartamudeó"
4/25/2024 21:55:05,1C8YLNRI,"Miedo, "
4/25/2024 22:01:24,U8GAYRZ7,Migraña
4/26/2024 6:49:03,F65E8SEA,"Me duele la cabeza, me empiezan a doler los hombros, no puedo conciliar el sueño y a veces llega un punto en el que me siento tan frustrada que me dan ganas de llorar "
4/26/2024 10:01:08,16UOLNVY,Dolor de estómago o escalofríos 
4/26/2024 10:39:25,D1S2USQV,Pierdo fuerza en las piernas y mis manos sudan mucho 
4/26/2024 11:14:18,83ECQ6P2,"siento que aplastan mi pecho, pierdo el apetito y mi estado de ánimo se vuelve volátil."
4/26/2024 11:50:56,LS7WFV2B,Alergia cutanea.
4/26/2024 12:56:50,OAZ5FC8A,Respiración rápida y ritmo acelerado 
4/26/2024 13:17:38,DCV5DO3V,"Dolor de cabeza, sueño"
4/26/2024 13:22:06,STTZ7KC4,"Dolor de cabeza, tensión muscular"
4/26/2024 13:24:46,BNMM9UFQ,"Falta de aire, fatiga"
4/26/2024 13:25:21,TA1NU1V7,Sudor y ataques de pánico 
4/26/2024 13:25:59,UGTBZ7P3,Adormecimiento 
4/26/2024 13:40:10,SOQQDFEW,Me salta mi ojo y me duele la cabeza 
4/26/2024 13:49:23,0A63PM6K,"Me llega a doler el estómago, no soy mucho de llorar por presión o preocupaciones, pero si siento que me duele mi estomago y la cabeza, además de que me siento cansado y con ganas de acostarme sin hacer nada."
4/26/2024 13:50:36,X0GVR7CK,"Calor, rigidez, respiración acelerada "
4/26/2024 13:54:03,19NLQDKA,"Me dan ganas de llorar pero no lloro, es como si sintiera un nudo en la garganta, me siento ansiosa todo el día y no puedo dormir bien "
4/26/2024 13:57:41,2E2IMZRO,Sudoracion
4/26/2024 14:10:39,21X2D6PW,Insomnio 
4/26/2024 14:18:29,GP42KD2C,"Ansiedad, sudoración en manos y pies, mal humor."
4/26/2024 14:32:36,27WD6UH2,"Dolor de cabeza, perdida del sueño, nerviosismo, malestares estomacales y disociación de la realidad"
4/26/2024 14:33:09,4TF29YIO,Siento como si tuviera frío en el estómago se hacen presente cuando me ponga a pensar en como piensa de mi las demás personas o empiezo a pensar en muchos riesgos de las situaciones en mi vida disria
4/26/2024 14:35:23,UZNBAHRB,No poder dormir y estar nervioso
4/26/2024 14:50:06,87RRAHBJ,"Creo que mi corazón empieza a latir más rápido, a veces siento comezón"
4/26/2024 15:01:39,EYYTA3LD,Mis piernas se duermen
4/26/2024 15:35:25,W49IM590,Enojo
4/26/2024 16:54:59,7HKJBSVI,Dolor de cabeza en la parte trasera y tensión en los hombros
4/26/2024 16:57:51,41U4SDTP,Dolor de cabeza
4/26/2024 17:05:18,25DC2F4Q,Un nudo en la garganta 
4/26/2024 17:07:40,PPI1SV0E,Taquicardias y escalofríos
4/26/2024 18:22:59,KQGSATHF,Dolor de cabeza
4/26/2024 20:27:53,3ZF411GH,Comezón en los brazos 
4/28/2024 12:04:28,5CYE0BRU,Sudor y dolor de cabeza 
4/28/2024 17:44:49,43K4VHCP,"Realmente creo que no puedo describir la sensación, es como una combinación de miedo y nervios  "
4/28/2024 22:35:59,FA8HZ0ZJ,"Tensión muscular, sudoración, náuseas"
4/29/2024 9:09:29,KFH9XJ94,"Cansancio, y escalofríos"
4/29/2024 13:24:37,7I9KZQ70,"Nerviosismo, sobre pensamientos, "
4/29/2024 13:26:44,TBIDV696,"Dolor de estómago, sudor y falta de sueño"
4/29/2024 13:30:35,BR14PE8E,"Desesperacion, calor, un poco de sudor "
4/29/2024 13:31:46,PRUNGY5A,"Dolor de cabeza, dolor de espalda y hombros "
4/29/2024 13:39:07,WHUIDLRU,Incomodidad como “sudar frío”
4/29/2024 13:40:04,442SR3BQ,Suelo sudar más de lo normal y no puede captar de manera clara las cosas 
4/29/2024 13:53:27,R5NND2PJ,"Hormigueo en los brazos, dolor de cabeza, dolor en el pecho "
4/29/2024 14:03:24,S62P3R06,"Nervios, dolor en el cuello y hombros y sudoración "
4/29/2024 14:05:35,VBGGGTXX,Cansancio 
4/29/2024 14:21:13,YO9QP9GQ,comezon en el cuerpo
4/29/2024 14:21:52,TIRMAXIL,Dolor en el estómago o la cabeza 
4/29/2024 14:36:58,X939VKYG,Me tiemblan las manos y me como las uñas 
4/29/2024 14:50:49,EE1OP684,"Nervios y comezón en el cuerpo, sensación de calor (subida de presión)"
4/29/2024 15:07:54,G1NFK78R,insomnio 
4/29/2024 16:31:34,TW29QEAI,Presion en el pecho
4/29/2024 18:47:56,EC28OB0I,"Nervios, ansiedad "
4/29/2024 23:14:46,YWDANKQ3,Ansiedad 
4/30/2024 0:22:30,41GHNML3,"Sudoración, movimiento involuntario de las manos "
4/30/2024 0:30:58,ZYO6EKLW,"Dolor de pecho, dolor de cabeza, dolor de espalda"
4/30/2024 8:38:45,WLSM1SUM,Estrés 
4/30/2024 10:44:29,7RSZOAWX,Estar moviendo mi pie o estarme tronando los dedos 
4/30/2024 11:00:56,NOQASZVA,Cansancio
4/30/2024 13:35:25,N9JIRQ1R,"Ansiedad, estrés, miedo"
4/30/2024 14:30:58,RVJ6EPRG,Tics nerviosos 
4/30/2024 18:16:40,2WMZZ63C,Quizá la sensación de sentirse abrumado o pequeño.
4/30/2024 18:38:14,53710675,Dolor de cabeza
4/30/2024 21:04:57,7CTEOZ0B,"Sintiendo ""mariposas"" en el estómago."
5/1/2024 8:23:10,RJYNX3WD,"Corazón acelerado, sudoración "
5/1/2024 16:59:46,IRUH1G2Z,"Dolor de cabeza, agitación "
5/1/2024 20:39:05,IYJTK4UN,"Escalofríos en el cuerpo, sensación de excitación, comezón."
5/1/2024 21:34:58,J7YGJPIE,"Cansio, picason regularmente en la cabeza, y sudoracion excesiva "
5/1/2024 23:34:11,XA5DPHB3,Escalofríos y dolor de cabeza 
5/2/2024 1:19:32,6QCKW4ZX,Dolor de cabeza 
5/2/2024 18:33:09,BHZT40UO,Empiezo a sudar.
5/2/2024 23:42:40,Q8HPCRF0,"Me fluye la nariz, y siento como hormigueo en el cuerpo."
5/3/2024 9:27:43,9OCOYQ5S,Sólo dificultad para concentrarme
5/3/2024 16:49:43,,"Dolor muscular en la espalda y hombros, cansancio, apetito moderado "
5/3/2024 16:49:47,UBXXESOE,"Dolor de cabeza, temblor en las piernas, sudoración en las manos."
5/7/2024 16:14:01,DLCOTDB3,"Estres, que a veces conlleva dolor de cabeza y caspa."
5/7/2024 17:52:41,73E51Z9Y,Dejo de comer porque se me va el apetito o por el contrario tiendo a comer mucho por la ansiedad 
5/8/2024 0:16:33,NZNKVJN5,Dolor de cabeza 
5/9/2024 13:11:23,K34YLW69,Sudor 
5/9/2024 13:19:18,9NUZ5PKN,Nervios y angustia 
5/9/2024 13:20:19,QXWPZ23V,Me pongo nervioso y se me acelera el corazón o revuelve el estómago 
5/9/2024 13:26:41,97RWBCRJ,"Una presión en el pecho, y no sentirme tranquilo "
5/9/2024 13:37:30,G63ZMG4B,Cuando no puedo completar trabajos
5/9/2024 13:48:45,GL74ZXRL,"dolor de cabeza, dolor de estomago a veces"
5/9/2024 14:22:33,VXWOTMTO,"Aumento del ritmo cardiaco, sudoración etc."
5/9/2024 14:27:31,7QQDXHQ7,"Me duele el estómago, quiero gritar, tengo tanta ansiedad que muevo la cabeza con mi ha regularidad. Lo peor es que al tener esto, puedo enfermarme."
5/9/2024 14:34:45,WW1GHWY1,Ser muy pensativo 
5/9/2024 14:35:17,4F5JZDBC,Sudor 
5/9/2024 16:15:48,9OS9PHYF,Me da hambre y siento inquietud en todo el cuerpo
5/9/2024 17:35:34,16RK386Y,0 concentración y manos sudorosas  
5/9/2024 18:29:23,1RKPWNBF,"Se cierra la garganta, me escurre sudor por los ojos, tiemblo. "
5/9/2024 18:31:44,BQK35SUL,Sudar mucho
5/9/2024 18:46:39,3G5WW5TD,"Me salen granitos, sudo, no me siento con energía "
5/9/2024 19:30:55,4L83S1WU,"Confusión, dolor de cabeza, insomnio"
5/9/2024 22:04:15,1OGWU084,Dolor de cabeza
5/10/2024 13:59:01,IPYENR3M,"Inquietud general, calor, dolor de cabeza, sueño."
5/10/2024 15:00:27,XTINAGL2,Dolor de cabeza y dolor en la espalda.
5/10/2024 15:20:56,PJEM9DJR,"dolor de cabeza, cansancio"
5/10/2024 16:27:26,90SG09DL,"Ansiedad, calor, entumecimineto del cuerpo un poco de sudor"
5/10/2024 19:40:06,ZO6GKY6S,"Escalofríos, ansiedad y ganas de huir"
5/10/2024 22:31:28,S45KT7YO,Me siento muy cansado y con poca paciencia
5/12/2024 0:48:52,T6C4YU2L,"frío, calor, mareo, asco y náuseas"
5/12/2024 20:18:00,9TQIQ8J0,Me da calor y empiezo a sudar
5/12/2024 20:47:26,QOKLYQJZ,Ninguna
5/13/2024 9:54:13,AR2SHENR,"Sudoración, ansiedad y espasmos involuntarios "
5/13/2024 18:24:51,MXD2BDEN,Ira o tristeza
5/13/2024 20:32:28,I9HEYDJ0,Ansiedad
5/13/2024 20:43:31,C2VL95E5,"Calor, cansancio, ganas de vomitar, cuerpo tembloroso."
5/13/2024 20:44:20,YOP5JWEP,NERVIOS Y ANGUSTIA 
5/13/2024 20:46:18,YG3TTUE9,Sensacion de cosquilleo en el pecho
5/13/2024 22:36:11,ZOYW0DWU,Dolor de cabeza 
5/14/2024 10:02:00,V5J3IP8N,Piel de gallina 
5/15/2024 20:14:17,E4EGEZ1X,Sudoración excesiva en las manos y tics nerviosos discretos en la pierna.
5/15/2024 20:43:29,DJWQSCW2,Bastante enojo y coraje con tics nerviosos
5/15/2024 21:34:45,3KRGQIMS,"Dolor de estómago, fatiga, y baja retención en el aprendizaje ya que no puedo concentrarme bien, "
5/15/2024 22:02:58,0K4CZRKQ,"Dolor de cabeza, cansancio"
5/15/2024 23:23:27,5GRMSXOF,"Comezón, muerdo mis uñas y siento calor "
5/16/2024 0:26:26,TDU8A4SC,Muchos nervios y dolor de ojos 
5/16/2024 0:29:08,QN6SP8W7,Nerviosismo y estrés 
5/16/2024 0:35:07,CHNLHC6X,"Sudoración, ansiedad"
5/16/2024 0:55:45,IX724P8G,"a veces pueden ser dolores de cabeza, pero ya cuando este estresado, a veces también puede ser de que sienta una pequeña presión en el pecho y un poco ansioso, todo depende de la situación donde este alimentando mi preocupación"
5/16/2024 1:13:18,B05YDAZ0,"Dolor de cabeza, movimiento rápido de piernas y tocó muchos mis manos."
5/16/2024 1:41:10,AJKRH064,"Respiración elevada, fatiga, desesperación, ganas de llorar"
5/16/2024 1:44:31,1RHBUABD,Sensación de angustia en el pecho y dolor de cabeza
5/16/2024 1:45:41,86IH30I7,"Debilitamiento físico, cansancio."
5/16/2024 7:20:37,7SV40TFC,"Me tiembla el cuerpo, siento frío y mucha ansiedad en todo el cuerpo "
5/16/2024 8:27:32,G2H8Q8RA,A veces el morderme suavemente el interior de mi boca 
5/16/2024 8:38:22,JC7G5EHG,"Dolor de cabeza, dolor de cuello y algunas veces me pongo nerviosa "
5/16/2024 8:46:06,91VK19HH,"Tensión en el cuerpo, necesidad de mover la pierna"
5/16/2024 9:12:26,KCXYQUUD,Cansancio y con un sentimiento de culpa
5/16/2024 9:19:48,X7WQGQMT,La ansiedad 
5/16/2024 9:36:26,BLO78S1C,Estres
5/16/2024 9:59:21,8MM32FBW,"Dolor de cabeza, ansiedad "
5/16/2024 10:42:34,PYVXS5Y5,Algunas veces dolor de cabeza o dificultad para conciliar el sueño 
5/16/2024 11:30:00,DJRCLO8P,ansiedad y preocupacion exagerada
5/16/2024 12:00:29,ZJWB22YX,"dolor de cabeza, dolor de estomago y dolor de hombro"
5/16/2024 12:53:47,3EAZ56FK,"Ganas de vomitar, inflamación en el estómago "
5/16/2024 13:11:17,ZT2GVR76,"Ocasionalmente me da un Tick en el ojo  cuando estoy preocupado, también dejo de dormir por que sobre pienso mucho las cosas . Y puede que este de mal humor , ya que estoy pensando en como resolver esa situacIón y me empiezo a estresar."
5/16/2024 13:25:14,614O6Y4I,"Escalofrios, dolor de estomago"
5/16/2024 13:45:24,14XGFLGK,"Cansancio,dolor de cabeza, estres, fatiga y a veces mareo."
5/16/2024 13:54:46,CKOKU9P4,Me siento con demasiado estrés y me duele la cabeza o también irritado o mal humor
5/16/2024 16:56:55,BGD4M2IP,Ansiedad y Nerviosismo
5/16/2024 16:57:14,KGOL6JXH,"Estres, dolor de cabeza, cansancio"
5/16/2024 17:16:08,V6MYHJGB,"Nerviosismo, dolor de cabeza, cansancio, gases."
5/17/2024 0:16:31,JZEC253P,tensión en el pecho
5/17/2024 0:54:15,Y29P2VU6,"Frío, nervios"
5/17/2024 1:12:43,ORL0OVLI,"Ritmo cardíaco más elevado, me tiemblan las manos "
5/17/2024 2:06:42,9N0G1GM1,"Ganas de dormir, cansancio."
5/17/2024 2:32:37,8TO1OH28,me sudan horrible las manos y siento que me duele el pecho
5/17/2024 8:59:10,MCPCHOLY,Sudor 
5/17/2024 9:32:45,J4TCSVW0,"Ansiedad, me como las uñas, quiero estar solo pensando"
5/17/2024 9:44:25,UNBMV59R,"Principalmente cosquilleo en el cuerpo, debilidad en el cuerpo y ojos llorosos "
5/17/2024 10:34:41,2CMHRG7X,respiración acelerada y mareo
5/17/2024 10:45:56,AYNOOGEB,"Cansancio, sudor, nerviosismo"
5/17/2024 10:55:25,ICZPD6VE,"Sensación de vacío, escalofríos, a veces ligeros mareos, sensación de desconexión con la realidad, me suelo poner nervioso y mis movimientos pueden llegar a ser más torpes de los normal. Suelo realizar más stimming del normal."
5/17/2024 11:40:20,KXHR1RPU,"Escalofríos, ansiedad y comezón"
5/20/2024 1:29:54,7PFSQZGK,"Me salen ronchas y granitos por todo el cuerpo, además me bajan las defensas y mis niveles hormonales se vuelven anormales"
5/20/2024 8:07:43,RK9BOLBA,"Comienzo a transpirar, se me seca la boca y cambia mi expresión. "
5/22/2024 19:49:00,AI6RPUWX,Cansancio 
5/24/2024 11:34:36,KIBDSKF6,"En mi pecho se siente como si se estuviera contrayendo, junto con nerviosismo"
5/24/2024 19:04:24,19QO0M44,Sudoración 
6/12/2024 18:05:58,I01P7HCR,"dolor de cabeza, dolor de espalda, dolor de ojos y agotamiento."
